pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
45	8.0	10842.0	44.0	8800.0	555.0	1443.0	2
60	2.375	14500.25	60.0	12000.0	373.375	2066.875	8
66	2.0	15878.0	66.0	13200.0	355.0	2257.0	1
67	2.0	15878.0	66.0	13200.0	355.0	2257.0	1
68	1.2	16352.7	68.0	13600.0	351.4	2333.3	10
69	1.2	16352.7	68.0	13600.0	351.4	2333.3	10
70	2.5	16836.5	70.0	14000.0	311.5	2455.0	10
72	7.0	17701.333333333332	72.0	14400.0	705.6666666666666	2523.6666666666665	3
73	7.0	17701.333333333332	72.0	14400.0	705.6666666666666	2523.6666666666665	3
74	1.0	17793.0	74.0	14800.0	343.0	2576.0	1
85	2.4	20214.0	84.0	16800.0	405.6	2924.4	10
90	2.4	21752.2	90.0	18000.0	472.7	3189.5	10
95	1.0	22459.6	94.0	18800.0	325.1	3240.5	10
100	2.0	23971.3	100.0	20000.0	420.6	3450.7	10
130	2.5	31419.5	130.0	26000.0	631.9	4657.6	10
160	2.6	38386.3	160.0	32000.0	628.7	5597.6	10
