pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	193.0	1081999.0	100.0	20000.0	427748.0	634151.0	1
130	98.0	927825.0	130.0	26000.0	300834.5	600860.5	2
190	94.0	1630848.8	190.0	38000.0	438530.4	1154128.4	5
195	101.5	1809904.0	194.0	38800.0	485802.3333333333	1285107.6666666667	6
200	101.8	1933361.4	200.0	40000.0	509070.0	1384091.4	5
201	104.4	1970492.4	200.0	40000.0	519445.3	1410847.1	10
202	88.5	1720618.9	202.0	40400.0	440578.1	1239438.8	10
203	103.6	1982535.9	202.0	40400.0	523762.9	1418171.0	10
204	97.9	1918324.3	204.0	40800.0	501898.7	1375421.6	10
205	98.9	1938634.8	204.0	40800.0	509322.7	1388308.1	10
206	119.0	2323256.6	206.0	41200.0	619912.2	1661938.4	5
207	83.5	1689333.5	206.0	41200.0	419558.75	1228368.75	4
208	97.8	1975277.6	208.0	41600.0	508837.2	1424632.4	5
209	117.33333333333333	2343389.3333333335	208.0	41600.0	618470.3333333334	1683111.0	3
210	111.33333333333333	2257012.6666666665	210.0	42000.0	572573.3333333334	1642229.3333333333	3
215	79.5	1743486.0	214.0	42800.0	416291.0	1284181.0	2
220	95.5	2133823.0	220.0	44000.0	531718.0	1557885.0	10
225	88.5	2056813.8	224.0	44800.0	503569.4	1508220.4	10
235	123.7	3015905.2	234.0	46800.0	742021.0	2226850.2	10
240	96.0	2538776.3333333335	240.0	48000.0	585871.3333333334	1904665.0	3
245	72.5	1989892.9	244.0	48800.0	444058.0	1496790.9	10
