pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	90.6	312009.1	100.0	48000.0	191747.0	72162.1	10
105	82.5	301726.9	104.0	49920.0	175846.4	75856.5	10
110	78.3	304280.7	110.0	52800.0	172050.3	79320.4	10
115	69.16666666666667	294340.8333333333	114.0	54720.0	154956.66666666666	84550.16666666667	6
120	58.7	283834.9	120.0	57600.0	136687.7	89427.2	10
125	84.0	335840.0	124.0	59520.0	183293.0	92903.0	1
130	51.3	290212.0	130.0	62400.0	127162.2	100519.8	10
135	49.9	302275.6	134.0	64320.0	133602.3	104219.3	10
136	45.6	292612.3	136.0	65280.0	123225.5	103970.8	10
137	43.7	289175.4	136.0	65280.0	118578.3	105181.1	10
138	47.4	293022.3	138.0	66240.0	119729.2	106915.1	10
139	52.6	303184.0	138.0	66240.0	130374.2	106431.8	10
140	40.3	282184.0	140.0	67200.0	105762.2	109081.8	10
141	38.6	286634.2	140.0	67200.0	109755.7	109538.5	10
142	42.142857142857146	287298.28571428574	142.0	68160.0	109206.85714285714	109789.42857142857	7
143	40.1	290279.0	142.0	68160.0	110843.2	111133.8	10
144	39.1	294773.6	144.0	69120.0	113033.6	112476.0	10
145	37.7	292765.7	144.0	69120.0	110691.4	112810.3	10
150	39.2	298263.1	150.0	72000.0	107521.2	118591.9	10
155	37.2	301430.5	154.0	73920.0	106565.8	120790.7	10
160	32.9	297309.9	160.0	76800.0	92949.2	127400.7	10
190	23.8	329823.6	190.0	91200.0	81512.3	156921.3	10
220	17.3	355366.8	220.0	105600.0	66009.8	183537.0	10
