pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	77.25	210392.625	100.0	10000.0	86310.25	113982.375	8
130	69.85714285714286	290089.28571428574	130.0	13000.0	105800.71428571429	171158.57142857142	7
160	75.6	434337.1	160.0	16000.0	148490.9	269686.2	10
165	43.0	273158.7	164.0	16400.0	83312.3	173282.4	10
166	51.5	326454.0	166.0	16600.0	99756.5	209931.5	10
167	51.4	325760.4	166.0	16600.0	100625.8	208368.6	10
168	35.7	240970.4	168.0	16800.0	66461.8	157540.6	10
169	37.7	253793.1	168.0	16800.0	71210.9	165614.2	10
170	34.9	242269.7	170.0	17000.0	66121.1	158978.6	10
171	56.285714285714285	369290.4285714286	170.0	17000.0	111893.57142857143	240226.85714285713	7
172	52.2	342668.5	172.0	17200.0	104455.1	220841.4	10
173	59.6	385885.0	172.0	17200.0	122487.5	246025.5	10
174	43.6	303425.4	174.0	17400.0	89646.8	196204.6	10
175	40.7	291048.6	174.0	17400.0	83293.5	190181.1	10
180	51.0	372518.4	180.0	18000.0	108732.5	245605.9	10
185	38.3	299112.4	184.0	18400.0	81234.2	199294.2	10
190	50.8	403367.2	190.0	19000.0	115926.0	268251.2	10
195	31.8	279245.7	194.0	19400.0	70893.9	188757.8	10
200	33.2	306283.4	200.0	20000.0	77608.4	208475.0	10
205	31.2	296930.3	204.0	20400.0	74468.8	201857.5	10
210	39.0	382424.4	210.0	21000.0	97851.2	263363.2	10
215	35.7	358640.4	214.0	21400.0	90453.8	246572.6	10
