pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
25	1.0	281.0	24.0	240.0	5.0	12.0	2
30	1.0	340.2	30.0	300.0	7.0	3.2	5
35	1.0	384.0	34.0	340.0	5.0	5.0	2
40	1.0	369.5	40.0	314.5	3.0	12.0	10
41	1.0	361.0	31.75	300.0	3.75	25.5	4
42	1.0	296.5	33.25	263.25	0.0	0.0	4
43	1.0	296.5	33.25	263.25	0.0	0.0	4
44	1.0	415.0	40.3	369.3	3.0	2.4	10
45	1.0	352.6	32.9	308.0	3.5	8.2	10
46	1.0	418.0	36.25	345.0	3.75	33.0	4
47	1.0	418.0	36.25	345.0	3.75	33.0	4
48	1.0	7.0	7.0	0.0	0.0	0.0	1
49	1.0	7.0	7.0	0.0	0.0	0.0	1
50	1.0	407.0	37.1	350.0	3.5	16.4	10
55	1.0	439.3	39.9	378.0	3.5	17.9	10
60	1.0	462.2	44.1	408.6	2.5	7.0	10
65	1.0	456.3	46.9	392.6	2.5	14.3	10
70	1.0	784.8	70.0	700.0	12.2	2.6	10
