pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
15	73.0	10828.0	14.0	1400.0	6660.0	2754.0	1
20	97.33333333333333	19302.333333333332	20.0	2000.0	10507.666666666666	6774.666666666667	3
21	78.75	16295.5	20.0	2000.0	8831.5	5444.0	4
22	82.7	19377.1	22.0	2200.0	9875.8	7279.3	10
23	82.7	19377.1	22.0	2200.0	9875.8	7279.3	10
24	94.8	23648.4	24.0	2400.0	11813.2	9411.2	10
25	63.1	16690.0	24.0	2400.0	7585.6	6680.4	10
26	82.2	23102.3	26.0	2600.0	10537.6	9938.7	10
27	80.9	22401.2	26.0	2600.0	10188.4	9586.8	10
28	52.2	17159.9	28.0	2800.0	6828.2	7503.7	10
29	52.2	17159.9	28.0	2800.0	6828.2	7503.7	10
30	81.6	27496.1	30.0	3000.0	11822.3	12643.8	10
35	53.3	22070.7	34.0	3400.0	7612.0	11024.7	10
40	45.9	24812.6	40.0	4000.0	7519.5	13253.1	10
45	45.4	28655.5	44.0	4400.0	8203.1	16008.4	10
50	34.7	27772.7	50.0	5000.0	6891.0	15831.7	10
55	31.0	29365.6	54.0	5400.0	6718.6	17193.0	10
60	28.9	31559.5	60.0	6000.0	7027.1	18472.4	10
65	27.6	34310.6	64.0	6400.0	7177.4	20669.2	10
70	28.9	41393.4	70.0	7000.0	8538.8	25784.6	10
100	18.0	50854.7	100.0	10000.0	7454.5	33300.2	10
