pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
80	3.5	14330.5	80.0	12000.0	180.5	2070.0	4
86	1.6666666666666667	15283.0	86.0	12900.0	44.0	2253.0	3
87	1.8	15291.4	86.0	12900.0	65.8	2239.6	5
88	2.3333333333333335	15685.0	88.0	13200.0	112.33333333333333	2284.6666666666665	3
89	2.0	15625.0	88.0	13200.0	60.333333333333336	2276.6666666666665	3
90	2.6	16067.4	90.0	13500.0	111.1	2366.3	10
91	1.0	15953.333333333334	90.0	13500.0	32.0	2331.3333333333335	3
94	2.4	16687.8	94.0	14100.0	58.6	2435.2	5
95	2.6	16785.0	94.0	14100.0	127.2	2463.8	10
100	2.3	17821.5	100.0	15000.0	62.3	2659.2	10
105	2.6	18545.2	104.0	15600.0	102.5	2738.7	10
110	2.1	19577.8	110.0	16500.0	92.2	2875.6	10
115	2.1	20285.0	114.0	17100.0	141.1	2929.9	10
120	2.0	21409.0	120.0	18000.0	73.0	3216.0	1
125	1.875	22111.875	124.0	18600.0	114.875	3273.0	8
130	2.1	23154.7	130.0	19500.0	100.6	3424.1	10
160	1.6	28487.8	160.0	24000.0	122.0	4205.8	10
190	2.7	33957.1	190.0	28500.0	325.5	4941.6	10
