pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	138.0	64401.6	40.0	4000.0	23888.6	36473.0	5
50	74.75	53802.5	50.0	5000.0	16200.5	32552.0	4
51	74.33333333333333	53288.666666666664	50.0	5000.0	15855.333333333334	32383.333333333332	3
52	117.16666666666667	85346.66666666667	52.0	5200.0	26889.166666666668	53205.5	6
53	79.5	58359.0	52.0	5200.0	16774.0	36333.0	2
54	108.3	83647.8	54.0	5400.0	26025.6	52168.2	10
55	110.8	86123.1	54.0	5400.0	26965.6	53703.5	10
56	110.1	89439.7	56.0	5600.0	26953.1	56830.6	10
57	104.7	85819.6	56.0	5600.0	26126.4	54037.2	10
58	110.9	98818.3	58.0	5800.0	29540.2	63420.1	10
59	96.9	87053.1	58.0	5800.0	25580.6	55614.5	10
60	91.0	85883.71428571429	60.0	6000.0	24190.428571428572	55633.28571428572	7
65	82.4	87369.7	64.0	6400.0	23177.1	57728.6	10
70	93.3	113541.2	70.0	7000.0	29858.8	76612.4	10
75	71.4	97269.6	74.0	7400.0	22790.2	67005.4	10
80	66.7	106579.9	80.0	8000.0	23981.2	74518.7	10
85	64.9	114276.1	84.0	8400.0	24420.5	81371.6	10
90	81.2	152419.1	90.0	9000.0	33487.2	109841.9	10
95	58.0	123933.4	94.0	9400.0	25345.5	89093.9	10
100	58.2	141269.3	100.0	10000.0	28133.9	103035.4	10
130	35.6	146490.7	130.0	13000.0	21948.4	111412.3	10
