pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
130	2.0	76900.0	130.0	52000.0	9034.0	15736.0	1
160	2.0	84662.66666666667	160.0	64000.0	3898.0	16604.666666666668	3
165	1.3333333333333333	87758.83333333333	164.0	65600.0	4855.333333333333	17139.5	6
170	2.0	90020.0	170.0	68000.0	5190.0	16660.0	1
180	1.6666666666666667	94886.33333333333	180.0	72000.0	5124.0	17582.333333333332	3
185	1.6666666666666667	101451.0	184.0	73600.0	6396.666666666667	21270.333333333332	3
188	1.3333333333333333	100402.33333333333	188.0	75200.0	7001.333333333333	18013.0	3
189	1.6666666666666667	99960.0	188.0	75200.0	6655.0	17917.0	3
190	1.6	103324.3	190.0	76000.0	6268.9	20865.4	10
191	1.5	101704.75	190.0	76000.0	5378.875	20135.875	8
192	1.2	100983.6	192.0	76800.0	4089.4	19902.2	5
193	1.0	99537.0	192.0	76800.0	4561.5	17983.5	2
195	1.1666666666666667	100953.83333333333	194.0	77600.0	3545.8333333333335	19614.0	6
200	1.6666666666666667	105521.0	200.0	80000.0	5428.833333333333	19892.166666666668	6
205	1.0	108034.0	204.0	81600.0	3732.0	22498.0	2
215	1.5	114091.75	214.0	85600.0	6130.5	22147.25	4
220	1.6666666666666667	116700.33333333333	220.0	88000.0	5608.0	22872.333333333332	3
250	1.25	130040.0	250.0	100000.0	5189.5	24600.5	4
280	1.0	148311.5	280.0	112000.0	6017.1	30014.4	10
