pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
20	68.0	20483.0	20.0	2000.0	13279.0	5184.0	1
26	68.75	31387.75	26.0	2600.0	19307.0	9454.75	4
27	71.75	32014.5	26.0	2600.0	19848.5	9540.0	4
28	85.9	42267.5	28.0	2800.0	27509.0	11930.5	10
29	48.0	24254.333333333332	28.0	2800.0	13376.333333333334	8050.0	3
30	74.1	39018.2	30.0	3000.0	23261.1	12727.1	10
32	69.6	41677.5	32.0	3200.0	24845.5	13600.0	10
33	74.0	44217.6	32.0	3200.0	26488.4	14497.2	10
34	60.0	38261.6	34.0	3400.0	21181.9	13645.7	10
35	77.75	48322.25	34.0	3400.0	28134.25	16754.0	4
40	57.7	46489.3	40.0	4000.0	25035.5	17413.8	10
45	52.4	48865.2	44.0	4400.0	24413.7	20007.5	10
50	44.7	51795.1	50.0	5000.0	24319.7	22425.4	10
55	48.2	62293.3	54.0	5400.0	28348.7	28490.6	10
60	42.0	62955.9	60.0	6000.0	26637.6	30258.3	10
65	28.0	48964.1	64.0	6400.0	18684.0	23816.1	10
70	26.8	55605.7	70.0	7000.0	21055.3	27480.4	10
100	21.8	81706.6	100.0	10000.0	24783.0	46823.6	10
130	14.1	85674.4	130.0	13000.0	21158.2	51386.2	10
