pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	100.0	266028.0	100.0	48000.0	154344.0	63584.0	1
105	74.8	232062.4	104.0	49920.0	118453.4	63585.0	5
110	81.4	246866.2	110.0	52800.0	126001.6	67954.6	10
115	65.25	239230.25	114.0	54720.0	114025.125	70371.125	8
116	67.0	243091.25	116.0	55680.0	114650.25	72645.0	4
117	64.71428571428571	238961.2857142857	116.0	55680.0	111494.71428571429	71670.57142857143	7
118	70.6	248621.2	118.0	56640.0	118544.5	73318.7	10
119	67.2	251445.7	118.0	56640.0	120768.3	73919.4	10
120	60.1	237548.1	120.0	57600.0	105081.2	74746.9	10
121	62.0	242517.6	120.0	57600.0	109318.4	75479.2	10
122	60.9	242125.3	122.0	58560.0	106965.0	76478.3	10
123	57.0	239174.8	122.0	58560.0	103447.3	77045.5	10
124	57.875	236762.5	124.0	59520.0	99174.75	77943.75	8
125	55.6	237572.8	124.0	59520.0	100392.4	77536.4	10
130	55.6	243932.1	130.0	62400.0	98968.3	82433.8	10
135	50.2	238697.4	134.0	64320.0	89668.4	84575.0	10
140	46.0	242204.5	140.0	67200.0	85286.75	89577.75	4
145	35.2	237303.4	144.0	69120.0	73922.6	94116.8	5
150	36.888888888888886	247002.11111111112	150.0	72000.0	77873.33333333333	96978.77777777778	9
155	33.2	245240.7	154.0	73920.0	71759.5	99407.2	10
160	32.1	247732.7	160.0	76800.0	66960.3	103812.4	10
190	24.6	275513.6	190.0	91200.0	57092.6	127031.0	10
220	16.8	302662.9	220.0	105600.0	46357.2	150485.7	10
