pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
20	134.0	37526.0	20.0	2000.0	26602.0	8904.0	1
35	72.75	44976.0	34.0	3400.0	25409.0	16133.0	4
40	69.6	54672.7	40.0	4000.0	29748.3	20884.4	10
45	56.7	52851.2	44.0	4400.0	26769.9	21637.3	10
50	54.7	61601.7	50.0	5000.0	30169.7	26382.0	10
55	49.8	62813.7	54.0	5400.0	28782.8	28576.9	10
56	48.625	63433.625	56.0	5600.0	28079.5	29698.125	8
57	40.2	54976.7	56.0	5600.0	23461.6	25859.1	10
58	35.5	52719.6	58.0	5800.0	21788.0	25073.6	10
59	38.4	56261.2	58.0	5800.0	23878.3	26524.9	10
60	31.0	48469.1	60.0	6000.0	18577.0	23832.1	10
61	39.7	60375.0	60.0	6000.0	25163.9	29151.1	10
62	37.9	61590.5	62.0	6200.0	25664.5	29664.0	10
63	32.6	53541.9	62.0	6200.0	21145.8	26134.1	10
64	42.8	69627.0	64.0	6400.0	28841.9	34321.1	10
65	33.5	57598.3	64.0	6400.0	22763.0	28371.3	10
70	31.3	62286.8	70.0	7000.0	23732.9	31483.9	10
100	19.7	74017.5	100.0	10000.0	22428.9	41488.6	10
130	17.0	100966.8	130.0	13000.0	25419.4	62417.4	10
