pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	69.33333333333333	127317.33333333333	70.0	7000.0	56092.666666666664	64154.666666666664	3
75	81.8	157411.2	74.0	7400.0	68183.1	81754.1	10
80	46.9	109192.7	80.0	8000.0	39697.5	61415.2	10
85	48.75	122654.625	84.0	8400.0	44932.5	69238.125	8
90	49.8	138393.6	90.0	9000.0	49335.0	79968.6	10
91	23.0	73336.0	90.0	9000.0	20444.0	43802.0	1
92	51.5	145621.4	92.0	9200.0	53184.8	83144.6	10
93	51.5	145621.4	92.0	9200.0	53184.8	83144.6	10
94	44.1	132168.4	94.0	9400.0	44876.5	77797.9	10
95	35.0	108073.6	94.0	9400.0	34861.2	63718.4	10
96	33.4	108181.9	96.0	9600.0	33898.5	64587.4	10
97	33.8	108941.8	96.0	9600.0	34290.0	64955.8	10
98	45.5	144582.9	98.0	9800.0	47993.4	86691.5	10
99	44.8	142353.3	98.0	9800.0	47254.8	85200.5	10
100	32.4	111049.1	100.0	10000.0	34272.3	66676.8	10
105	32.0	120787.0	104.0	10400.0	36824.333333333336	73458.66666666667	3
110	40.6	158888.1	110.0	11000.0	49760.7	98017.4	10
115	26.3	115183.1	114.0	11400.0	32122.5	71546.6	10
120	32.1	150308.7	120.0	12000.0	42209.5	95979.2	10
125	30.2	150646.2	124.0	12400.0	41441.8	96680.4	10
130	31.9	168031.1	130.0	13000.0	47760.4	107140.7	10
160	25.3	196155.5	160.0	16000.0	46324.7	133670.8	10
