pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
85	2.5	39906.333333333336	84.0	33600.0	235.33333333333334	5987.0	6
90	2.5	42699.0	90.0	36000.0	178.0	6431.0	2
95	2.2857142857142856	44643.0	94.0	37600.0	207.57142857142858	6741.428571428572	7
96	2.1	45607.4	96.0	38400.0	203.0	6908.4	10
97	1.9	45592.1	96.0	38400.0	188.4	6907.7	10
100	2.1	47466.0	100.0	40000.0	183.1	7182.9	10
101	2.8	47576.1	100.0	40000.0	266.1	7210.0	10
102	3.5714285714285716	48637.42857142857	102.0	40800.0	413.0	7322.428571428572	7
103	1.8888888888888888	48419.333333333336	102.0	40800.0	163.33333333333334	7354.0	9
105	2.5	49411.3	104.0	41600.0	232.7	7474.6	10
110	1.9	52216.6	110.0	44000.0	188.3	7918.3	10
115	2.5	54249.166666666664	114.0	45600.0	320.8333333333333	8214.333333333334	6
120	2.0	56931.11111111111	120.0	48000.0	198.33333333333334	8612.777777777777	9
125	3.2	58999.2	124.0	49600.0	361.2	8914.0	10
130	1.8	61693.0	130.0	52000.0	176.1	9386.9	10
160	1.7	75905.0	160.0	64000.0	185.4	11559.6	10
190	2.3	90200.3	190.0	76000.0	325.2	13685.1	10
