pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
30	79.83333333333333	41841.666666666664	30.0	3000.0	24198.5	14613.166666666666	6
35	70.0	44103.333333333336	34.0	3400.0	23570.5	17098.833333333332	6
40	65.3	52026.4	40.0	4000.0	25540.7	22445.7	10
45	66.3	60832.1	44.0	4400.0	28537.3	27850.8	10
46	41.3	41972.9	46.0	4600.0	17795.6	19531.3	10
47	40.0	41392.0	46.0	4600.0	17320.9	19425.1	10
48	43.3	47330.3	48.0	4800.0	20451.8	22030.5	10
49	46.0	49583.8	48.0	4800.0	21544.3	23191.5	10
50	35.6	42086.5	50.0	5000.0	16228.7	20807.8	10
51	42.8	49605.7	50.0	5000.0	20520.5	24035.2	10
52	35.4	43838.0	52.0	5200.0	16801.9	21784.1	10
53	39.0	47832.4	52.0	5200.0	18638.8	23941.6	10
54	38.1	49916.4	54.0	5400.0	19591.7	24870.7	10
55	36.0	48128.5	54.0	5400.0	18901.4	23773.1	10
60	30.4	48390.6	60.0	6000.0	16977.0	25353.6	10
65	39.5	67462.5	64.0	6400.0	24829.5	36169.0	10
70	29.9	60585.0	70.0	7000.0	20130.3	33384.7	10
100	19.1	74450.1	100.0	10000.0	19429.4	44920.7	10
130	15.6	94992.1	130.0	13000.0	20935.2	60926.9	10
