pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	5.0	56154.0	100.0	40000.0	3966.0	12088.0	1
160	2.6666666666666665	85366.66666666667	160.0	64000.0	2497.3333333333335	18709.333333333332	6
190	2.0	100449.5	190.0	76000.0	3186.0	21073.5	2
220	2.0	117641.25	220.0	88000.0	2201.5	27219.75	4
230	2.0	118656.0	230.0	92000.0	1685.0	24741.0	1
235	2.3333333333333335	124945.5	234.0	93600.0	2739.0	28372.5	6
236	2.1	126457.6	236.0	94400.0	2558.8	29262.8	10
237	2.1	126457.6	236.0	94400.0	2558.8	29262.8	10
238	2.4	125589.2	238.0	95200.0	2496.3	27654.9	10
239	2.5	125981.625	238.0	95200.0	2568.25	27975.375	8
240	2.1	127137.6	240.0	96000.0	2766.6	28131.0	10
242	2.5	128464.5	242.0	96800.0	2798.0	28624.5	10
243	2.2	130296.2	242.0	96800.0	3075.6	30178.6	5
244	2.5	130993.6	244.0	97600.0	3088.5	30061.1	10
245	2.6	130928.5	244.0	97600.0	2957.4	30127.1	10
250	2.7	136253.3	250.0	100000.0	3158.0	32845.3	10
255	2.0	131044.33333333333	254.0	101600.0	1665.6666666666667	27524.666666666668	3
260	2.3	140899.3	260.0	104000.0	3230.1	33409.2	10
265	2.3	140215.7	264.0	105600.0	2500.0	31851.7	10
270	2.3	144057.1	270.0	108000.0	3073.0	32714.1	10
275	2.3	145517.5	274.0	109600.0	2793.8	32849.7	10
