pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	133.0	97050.0	40.0	4000.0	58945.5	34064.5	2
70	88.22222222222223	145531.0	70.0	7000.0	68391.0	70070.0	9
71	84.77777777777777	140982.44444444444	70.0	7000.0	67073.55555555556	66838.88888888889	9
72	67.0	115707.0	72.0	7200.0	50606.0	57829.0	1
73	68.0	117280.0	72.0	7200.0	52461.666666666664	57546.333333333336	6
74	65.9	120063.4	74.0	7400.0	51618.9	60970.5	10
75	56.7	104986.1	74.0	7400.0	43674.1	53838.0	10
76	64.4	123337.6	76.0	7600.0	52606.8	63054.8	10
77	64.4	123337.6	76.0	7600.0	52606.8	63054.8	10
78	64.3	127744.5	78.0	7800.0	52566.4	67300.1	10
79	57.8	115683.3	78.0	7800.0	47249.0	60556.3	10
80	93.0	188058.66666666666	80.0	8000.0	87717.5	92261.16666666667	6
85	62.9	139378.7	84.0	8400.0	56761.3	74133.4	10
90	71.3	173856.9	90.0	9000.0	72605.9	92161.0	10
95	55.1	146248.2	94.0	9400.0	56500.2	80254.0	10
100	39.5	121747.5	100.0	10000.0	41609.2	70038.3	10
105	44.3	143706.3	104.0	10400.0	50628.5	82573.8	10
110	59.9	204342.2	110.0	11000.0	75432.5	117799.7	10
115	33.3	129577.1	114.0	11400.0	40576.2	77486.9	10
120	36.875	152228.75	120.0	12000.0	47952.375	92156.375	8
125	44.3	188370.9	124.0	12400.0	64044.3	111802.6	10
130	28.9	142244.4	130.0	13000.0	39731.6	89382.8	10
160	23.9	167400.3	160.0	16000.0	40669.2	110571.1	10
