pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
130	2.0	79127.0	130.0	52000.0	6360.0	20637.0	1
190	2.6666666666666665	110805.83333333333	190.0	76000.0	8451.333333333334	26164.5	6
250	2.1666666666666665	141651.16666666666	250.0	100000.0	9434.333333333334	31966.833333333332	6
280	2.0	156226.66666666666	280.0	112000.0	10345.333333333334	33601.333333333336	3
310	2.0	179225.75	310.0	124000.0	9857.0	45058.75	4
340	2.0	191688.6	340.0	136000.0	9263.4	46085.2	5
375	2.3	215400.5	374.0	149600.0	11161.3	54265.2	10
376	2.0	214353.9	376.0	150400.0	10520.1	53057.8	10
377	2.3	214894.0	376.0	150400.0	11330.5	52787.5	10
378	2.0	216580.8	378.0	151200.0	12742.4	52260.4	10
379	2.0	212617.6	378.0	151200.0	11054.5	49985.1	10
380	2.0	213919.6	380.0	152000.0	10325.2	51214.4	10
381	2.142857142857143	216038.57142857142	380.0	152000.0	11805.285714285714	51853.28571428572	7
382	2.3	218200.1	382.0	152800.0	12304.3	52713.8	10
383	2.4	218242.9	382.0	152800.0	13070.3	51990.6	10
384	2.3	214981.5	384.0	153600.0	12340.8	48656.7	10
385	2.4	220680.5	384.0	153600.0	13391.8	53304.7	10
390	2.1	219692.8	390.0	156000.0	11411.4	51891.4	10
395	2.111111111111111	227574.22222222222	394.0	157600.0	13051.666666666666	56528.555555555555	9
400	2.2	229064.9	400.0	160000.0	11408.7	57256.2	10
405	2.2	229255.0	404.0	161600.0	13232.1	54018.9	10
410	2.0	234456.0	410.0	164000.0	12390.8	57655.2	10
415	2.1	236087.9	414.0	165600.0	12816.6	57257.3	10
420	2.1	242020.5	420.0	168000.0	13971.6	59628.9	10
425	2.0	241883.2	424.0	169600.0	11543.2	60316.0	10
