pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
160	32.0	127794.5	160.0	16000.0	77215.5	34419.0	2
220	51.25	291450.5	220.0	22000.0	205348.5	63882.0	4
250	28.0	204702.0	250.0	25000.0	116675.0	62777.0	1
280	25.25	222439.75	280.0	28000.0	123431.25	70728.5	4
310	36.5	344232.75	310.0	31000.0	224618.25	88304.5	4
340	44.75	463786.25	340.0	34000.0	314249.25	115197.0	4
370	18.0	248259.0	370.0	37000.0	122974.0	87915.0	2
435	20.1	326900.7	434.0	43400.0	171051.5	112015.2	10
440	17.4	302293.4	440.0	44000.0	142748.5	115104.9	10
445	27.8	444456.2	444.0	44400.0	275780.4	123831.8	10
450	30.3	453785.5	450.0	45000.0	271943.7	136391.8	10
455	19.333333333333332	345657.3333333333	454.0	45400.0	171183.66666666666	128619.66666666667	3
460	20.7	364761.0	460.0	46000.0	183977.7	134323.3	10
465	24.333333333333332	422006.1666666667	464.0	46400.0	229116.83333333334	146025.33333333334	6
466	20.6	376263.6	466.0	46600.0	188494.2	140703.4	10
467	24.0	414996.8	466.0	46600.0	223290.9	144639.9	10
468	24.857142857142858	428284.5714285714	468.0	46800.0	238257.7142857143	142758.85714285713	7
469	15.0	297900.0	468.0	46800.0	122558.0	128074.0	1
470	14.3	285765.7	470.0	47000.0	121135.4	117160.3	10
471	12.857142857142858	269293.28571428574	470.0	47000.0	110175.0	111648.28571428571	7
472	21.4	389338.4	472.0	47200.0	210520.7	131145.7	10
473	23.6	412408.6	472.0	47200.0	225092.5	139644.1	10
474	12.5	267538.8333333333	474.0	47400.0	106310.83333333333	113354.0	6
475	20.0	372332.28571428574	474.0	47400.0	191481.85714285713	132976.42857142858	7
480	19.1	359911.5	480.0	48000.0	174985.5	136446.0	10
485	19.0	365578.3333333333	484.0	48400.0	183351.33333333334	133343.0	3
