pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
105	89.1	269560.1	104.0	49920.0	155979.6	63556.5	10
110	68.2	249675.3	110.0	52800.0	128921.0	67844.3	10
115	68.5	248416.5	114.0	54720.0	122935.0	70647.5	4
120	55.5	251860.6	120.0	57600.0	118253.4	75887.2	10
125	54.3	246566.9	124.0	59520.0	109151.2	77771.7	10
130	48.9	245554.4	130.0	62400.0	99592.4	83432.0	10
131	44.6	245276.7	130.0	62400.0	99000.3	83746.4	10
132	44.1	242059.3	132.0	63360.0	94938.0	83629.3	10
133	54.1	264524.1	132.0	63360.0	117608.3	83423.8	10
134	40.9	240531.6	134.0	64320.0	89694.9	86382.7	10
135	44.0	242300.0	134.0	64320.0	92518.3	85327.7	10
136	46.1	254535.0	136.0	65280.0	101833.1	87285.9	10
137	41.6	247741.2	136.0	65280.0	95552.8	86772.4	10
138	38.9	245445.4	138.0	66240.0	90168.1	88899.3	10
139	44.3	253016.9	138.0	66240.0	98537.4	88101.5	10
140	40.2	254510.4	140.0	67200.0	97262.2	89908.2	5
145	35.4	249828.5	144.0	69120.0	88216.2	92348.3	10
150	33.7	251117.0	150.0	72000.0	82685.0	96282.0	10
155	33.7	259418.9	154.0	73920.0	84851.6	100493.3	10
160	27.5	256398.6	160.0	76800.0	74546.0	104892.6	10
190	20.9	278240.5	190.0	91200.0	60153.2	126697.3	10
220	16.0	308273.5	220.0	105600.0	54144.3	148309.2	10
