pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	141.5	103804.5	40.0	4000.0	57246.0	42518.5	2
45	123.0	101845.0	44.0	4400.0	53863.0	43538.0	1
50	148.0	144536.0	50.0	5000.0	74798.0	64688.0	1
55	80.33333333333333	95121.33333333333	54.0	5400.0	44404.666666666664	45262.666666666664	9
60	43.2	65608.0	60.0	6000.0	25595.8	33952.2	5
65	70.0	110514.0	64.0	6400.0	43536.0	60514.0	1
66	92.0	148999.0	66.0	6600.0	62498.0	79835.0	1
67	92.0	148999.0	66.0	6600.0	62498.0	79835.0	1
68	72.3	123922.0	68.0	6800.0	52805.0	64249.0	10
69	72.3	123922.0	68.0	6800.0	52805.0	64249.0	10
70	72.2	131140.0	70.0	7000.0	54631.6	69438.4	10
71	83.6	150172.7	70.0	7000.0	64695.3	78407.4	10
72	78.5	145499.0	72.0	7200.0	60151.3	78075.7	10
73	77.8	144135.1	72.0	7200.0	59212.6	77650.5	10
74	48.0	100049.0	74.0	7400.0	36972.0	55603.0	1
75	118.0	225394.66666666666	74.0	7400.0	101205.66666666667	116715.0	3
80	82.3	182986.3	80.0	8000.0	76500.6	98405.7	10
90	60.1	165006.0	90.0	9000.0	59890.1	96025.9	10
95	46.5	140586.1	94.0	9400.0	48314.7	82777.4	10
100	51.0	166250.4	100.0	10000.0	56318.3	99832.1	10
130	30.2	165071.6	130.0	13000.0	43658.8	108282.8	10
