pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	2.0	12645.0	70.0	10500.0	284.0	1791.0	7
100	2.0	18187.85714285714	100.0	15000.0	395.2857142857143	2692.5714285714284	7
108	1.7142857142857142	19517.714285714286	108.0	16200.0	387.14285714285717	2822.5714285714284	7
109	1.625	19503.125	108.0	16200.0	374.25	2820.875	8
110	2.3	19957.8	110.0	16500.0	482.5	2865.3	10
111	2.0	19926.0	110.0	16500.0	468.0	2848.0	1
112	2.3	20331.7	112.0	16800.0	491.8	2927.9	10
113	2.3	20315.4	112.0	16800.0	487.3	2916.1	10
114	1.9	20640.2	114.0	17100.0	459.7	2966.5	10
115	2.6	20795.2	114.0	17100.0	570.8	3010.4	10
120	2.5	21769.5	120.0	18000.0	534.0	3115.5	4
125	1.0	22230.0	124.0	18600.0	273.0	3233.0	2
130	1.7	23430.3	130.0	19500.0	409.9	3390.4	10
135	2.0	24229.0	134.0	20100.0	509.7	3485.3	10
140	1.7	25228.3	140.0	21000.0	414.5	3673.8	10
150	1.5	27041.5	150.0	22500.0	491.0	3900.5	4
155	1.3	27700.5	154.0	23100.0	425.4	4021.1	10
190	1.2	34083.9	190.0	28500.0	483.7	4910.2	10
