pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
75	2.0	13441.0	74.0	11100.0	289.0	1978.0	1
80	2.3333333333333335	14535.666666666666	80.0	12000.0	343.3333333333333	2112.3333333333335	3
85	2.75	15337.0	84.0	12600.0	429.25	2223.75	4
90	3.0	16480.0	90.0	13500.0	546.0	2344.0	1
95	1.3333333333333333	16980.333333333332	94.0	14100.0	342.0	2444.3333333333335	3
96	2.4444444444444446	17458.0	96.0	14400.0	437.22222222222223	2524.777777777778	9
97	2.4444444444444446	17459.222222222223	96.0	14400.0	428.8888888888889	2534.3333333333335	9
98	2.0	17708.0	98.0	14700.0	383.0	2527.0	1
99	2.0	17708.0	98.0	14700.0	383.0	2527.0	1
100	2.4	18205.3	100.0	15000.0	444.8	2660.5	10
101	2.5	18192.2	100.0	15000.0	454.1	2638.1	10
102	1.0	18329.0	102.0	15300.0	323.0	2604.0	1
103	1.0	18329.0	102.0	15300.0	323.0	2604.0	1
104	2.5	18888.8	104.0	15600.0	466.6	2718.2	10
105	1.8	18830.5	104.0	15600.0	401.7	2724.8	10
110	2.0	19945.333333333332	110.0	16500.0	465.6666666666667	2869.6666666666665	3
115	2.6	20703.7	114.0	17100.0	493.2	2996.5	10
120	2.3	21751.1	120.0	18000.0	492.1	3139.0	10
125	2.3333333333333335	22522.666666666668	124.0	18600.0	489.3333333333333	3309.3333333333335	3
130	2.0	23525.8	130.0	19500.0	460.2	3435.6	5
220	1.8	39650.0	220.0	33000.0	701.8	5728.2	10
