pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	3.0	62003.0	100.0	40000.0	7862.0	14041.0	1
130	2.0	75412.0	130.0	52000.0	6923.0	16359.0	1
160	2.0	90627.0	160.0	64000.0	6952.0	19515.0	1
190	1.0	104426.0	190.0	76000.0	3865.0	24371.0	1
195	1.1666666666666667	103976.16666666667	194.0	77600.0	4362.666666666667	21819.5	6
200	1.0	107033.25	200.0	80000.0	4417.5	22415.75	4
205	1.25	107520.75	204.0	81600.0	5022.0	20694.75	4
206	1.0	110524.5	206.0	82400.0	5486.5	22432.0	2
207	1.0	110524.5	206.0	82400.0	5486.5	22432.0	2
208	1.0	109200.5	208.0	83200.0	3066.0	22726.5	2
209	1.0	109200.5	208.0	83200.0	3066.0	22726.5	2
210	1.1	111899.8	210.0	84000.0	3974.9	23714.9	10
211	1.0	112644.5	210.0	84000.0	3934.0	24500.5	4
212	1.3333333333333333	112786.33333333333	212.0	84800.0	4658.666666666667	23115.666666666668	3
213	1.3333333333333333	113561.0	212.0	84800.0	5037.0	23512.0	3
214	1.0	113541.0	214.0	85600.0	3564.3333333333335	24162.666666666668	3
220	1.1	115997.9	220.0	88000.0	4246.3	23531.6	10
225	1.0	118833.0	224.0	89600.0	4231.0	24778.0	1
230	1.0	123455.0	230.0	92000.0	4601.0	26624.0	2
235	1.0	123793.9	234.0	93600.0	4160.9	25799.0	10
240	1.0	124861.9	240.0	96000.0	3595.3	25026.6	10
245	1.0	127633.44444444444	244.0	97600.0	3557.777777777778	26231.666666666668	9
