pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
160	41.666666666666664	556973.6666666666	160.0	64000.0	351830.3333333333	140983.33333333334	6
250	13.0	455581.6666666667	250.0	100000.0	154986.33333333334	200345.33333333334	3
310	16.0	655377.8	310.0	124000.0	267479.0	263588.8	5
340	9.0	564642.0	340.0	136000.0	141886.0	286416.0	1
345	9.0	541831.0	344.0	137600.0	135714.5	268172.5	2
350	41.6	1126237.8	350.0	140000.0	673207.2	312680.6	5
355	12.666666666666666	674546.6666666666	354.0	141600.0	232700.66666666666	299892.0	3
360	13.714285714285714	717931.7142857143	360.0	144000.0	264528.4285714286	309043.28571428574	7
365	14.125	730896.875	364.0	145600.0	270508.25	314424.625	8
366	14.0	738593.0	366.0	146400.0	277517.0	314310.0	1
367	11.0	645453.0	366.0	146400.0	201386.66666666666	297300.3333333333	3
369	14.285714285714286	732179.5714285715	368.0	147200.0	270717.5714285714	313894.0	7
370	18.1	820812.4	370.0	148000.0	347814.5	324627.9	10
372	35.0	1266743.0	372.0	148800.0	773810.0	343761.0	1
373	14.0	739245.0	372.0	148800.0	269984.5	320088.5	2
374	12.0	693106.0	374.0	149600.0	222946.25	320185.75	4
375	22.333333333333332	966886.0	374.0	149600.0	465398.3333333333	351513.6666666667	3
385	10.0	657340.5	384.0	153600.0	190280.5	313076.0	2
390	52.0	1564019.0	390.0	156000.0	1005942.0	401687.0	1
395	19.0	970240.5	394.0	157600.0	454861.0	357385.5	2
