pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	113.0	311027.25	100.0	48000.0	191240.0	71687.25	4
105	80.4	276914.5	104.0	49920.0	150646.1	76244.4	10
110	73.11111111111111	284161.3333333333	110.0	52800.0	149409.33333333334	81842.0	9
125	57.5	273934.7	124.0	59520.0	119744.9	94545.8	10
126	57.1	281028.7	126.0	60480.0	123339.3	97083.4	10
127	64.4	290565.4	126.0	60480.0	134675.9	95283.5	10
128	52.4	273531.1	128.0	61440.0	114327.2	97635.9	10
129	59.7	285210.4	128.0	61440.0	127201.8	96440.6	10
130	46.9	264858.6	130.0	62400.0	103261.1	99067.5	10
131	45.8	259758.5	130.0	62400.0	98525.2	98703.3	10
132	45.0	266991.9	132.0	63360.0	103192.1	100307.8	10
133	47.6	269368.5	132.0	63360.0	105187.1	100689.4	10
134	44.6	268975.3	134.0	64320.0	101737.2	102784.1	10
135	53.2	286566.8	134.0	64320.0	120434.5	101678.3	10
140	45.0	275865.6	140.0	67200.0	100215.6	108310.0	10
145	44.6	289482.6	144.0	69120.0	107624.3	112594.3	10
150	35.7	280017.1	150.0	72000.0	89292.0	118575.1	10
155	34.5	277980.0	154.0	73920.0	82575.0	121331.0	10
160	33.2	286599.7	160.0	76800.0	82288.9	127350.8	10
190	22.1	314288.7	190.0	91200.0	66354.1	156544.6	10
220	18.6	352832.2	220.0	105600.0	61552.2	185460.0	10
