pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	63.833333333333336	39000.833333333336	40.0	4000.0	16929.166666666668	18031.666666666668	6
45	88.5	59411.9	44.0	4400.0	26512.3	28455.6	10
50	78.8	64639.9	50.0	5000.0	26336.5	33253.4	10
55	72.3	67883.0	54.0	5400.0	26331.3	36097.7	10
60	66.6	73567.8	60.0	6000.0	26762.9	40744.9	10
65	63.7	79309.0	64.0	6400.0	27566.4	45278.6	10
66	71.7	90744.4	66.0	6600.0	32795.8	51282.6	10
67	65.3	83675.3	66.0	6600.0	30010.0	46999.3	10
68	71.9	96742.2	68.0	6800.0	33983.5	55890.7	10
69	70.2	94075.8	68.0	6800.0	33012.1	54195.7	10
70	34.1	54036.5	70.0	7000.0	15321.9	31644.6	10
71	52.0	76082.6	70.0	7000.0	24668.8	44343.8	10
72	44.8	69903.1	72.0	7200.0	21353.5	41277.6	10
73	55.1	84200.4	72.0	7200.0	27464.7	49463.7	10
74	35.9	60230.4	74.0	7400.0	17423.5	35332.9	10
75	56.8	89975.8	74.0	7400.0	28487.7	54014.1	10
80	39.8	74911.5	80.0	8000.0	21567.3	45264.2	10
85	43.5	88049.7	84.0	8400.0	25228.5	54337.2	10
90	39.4	90165.3	90.0	9000.0	24246.6	56828.7	10
95	41.3	100032.3	94.0	9400.0	26572.7	63965.6	10
100	30.3	85249.2	100.0	10000.0	20453.4	54695.8	10
130	26.9	118939.7	130.0	13000.0	24282.7	81527.0	10
