pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	96.4	296253.6	100.0	48000.0	175582.2	72571.4	5
105	91.71428571428571	296937.71428571426	104.0	49920.0	171211.2857142857	75702.42857142857	7
110	66.0	282654.0	110.0	52800.0	146668.0	83076.0	1
115	75.3	275910.6	114.0	54720.0	137324.6	83752.0	10
120	64.66666666666667	278428.3333333333	120.0	57600.0	130302.33333333333	90406.0	3
121	67.44444444444444	277269.1111111111	120.0	57600.0	130406.0	89143.11111111111	9
122	62.333333333333336	285814.6666666667	122.0	58560.0	133467.66666666666	93665.0	3
123	53.8	260508.3	122.0	58560.0	110202.2	91624.1	10
124	56.4	264531.9	124.0	59520.0	112922.8	91965.1	10
125	50.3	257082.6	124.0	59520.0	103863.5	93575.1	10
126	46.5	252364.5	126.0	60480.0	98075.25	93683.25	4
127	58.4	271119.2	126.0	60480.0	115753.6	94759.6	10
128	49.5	262362.6	128.0	61440.0	104277.1	96517.5	10
129	51.8	264932.8	128.0	61440.0	106708.0	96656.8	10
130	50.3	268466.1	130.0	62400.0	105481.8	100454.3	10
135	39.666666666666664	249221.0	134.0	64320.0	83596.66666666667	101170.33333333333	3
140	45.8	273026.4	140.0	67200.0	98579.1	107107.3	10
145	36.8	268808.4	144.0	69120.0	86637.1	112907.3	10
150	39.4	275877.4	150.0	72000.0	86781.4	116946.0	10
155	34.6	278932.3	154.0	73920.0	81848.9	123009.4	10
160	32.5	284235.3	160.0	76800.0	79793.5	127481.8	10
190	24.1	313793.5	190.0	91200.0	66057.8	156345.7	10
