pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	97.8	55296.2	40.0	4000.0	21831.6	29424.6	5
45	77.4	51748.1	44.0	4400.0	18893.8	28410.3	10
50	70.2	57614.2	50.0	5000.0	19704.8	32859.4	10
55	50.3	49578.9	54.0	5400.0	14824.9	29300.0	10
60	42.2	49669.5	60.0	6000.0	13702.4	29907.1	10
61	52.9	60569.6	60.0	6000.0	17794.4	36715.2	10
62	39.8	49021.7	62.0	6200.0	13121.1	29638.6	10
63	41.6	51693.7	62.0	6200.0	13931.7	31500.0	10
64	60.4	75649.0	64.0	6400.0	22049.4	47135.6	10
65	35.6	47456.1	64.0	6400.0	12438.1	28554.0	10
66	52.9	70811.3	66.0	6600.0	19533.0	44612.3	10
67	56.2	75144.0	66.0	6600.0	20663.8	47814.2	5
68	56.0	79293.1	68.0	6800.0	21489.7	50935.4	10
69	56.0	79293.1	68.0	6800.0	21489.7	50935.4	10
70	44.2	66168.0	70.0	7000.0	17163.6	41934.4	10
75	42.3	70498.3	74.0	7400.0	17499.4	45524.9	10
80	39.4	74090.9	80.0	8000.0	17636.3	48374.6	10
85	39.9	80693.0	84.0	8400.0	18657.1	53551.9	10
90	34.3	80708.7	90.0	9000.0	17449.9	54168.8	10
95	35.3	88805.0	94.0	9400.0	18821.7	60489.3	10
100	34.6	96964.8	100.0	10000.0	19928.0	66936.8	10
130	31.8	138844.7	130.0	13000.0	24651.6	101063.1	10
