pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
135	3.0	71607.0	134.0	53600.0	3275.5	14597.5	2
140	2.3333333333333335	76463.33333333333	140.0	56000.0	3255.3333333333335	17068.0	3
145	2.0	76894.0	144.0	57600.0	2834.0	16316.0	1
150	2.5714285714285716	80589.42857142857	150.0	60000.0	3585.5714285714284	16853.85714285714	7
155	2.0	82259.0	154.0	61600.0	2735.5	17769.5	2
156	2.3333333333333335	83148.0	156.0	62400.0	3431.0	17161.0	3
158	2.0	85353.33333333333	158.0	63200.0	3661.0	18334.333333333332	3
159	2.5	85079.0	158.0	63200.0	3420.9	18300.1	10
160	4.5	87138.3	160.0	64000.0	4448.6	18529.7	10
161	2.2	85104.1	160.0	64000.0	2472.4	18471.7	10
162	2.5	87293.75	162.0	64800.0	2847.75	19484.0	4
163	2.0	85611.9	162.0	64800.0	2367.8	18282.1	10
164	2.0	86875.0	164.0	65600.0	2448.0	18663.0	1
165	2.2	89228.8	164.0	65600.0	3190.9	20273.9	10
175	2.4	93779.8	174.0	69600.0	3431.6	20574.2	5
180	2.0	95136.33333333333	180.0	72000.0	2522.222222222222	20434.11111111111	9
185	2.0	101190.5	184.0	73600.0	3382.25	24024.25	4
190	2.2	100024.4	190.0	76000.0	3180.6	20653.8	10
220	1.8	119660.2	220.0	88000.0	3126.2	28314.0	5
250	1.4	132216.2	250.0	100000.0	2100.8	29865.4	10
