pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	145.0	67027.0	40.0	4000.0	26972.0	36015.0	1
160	96.25	453989.25	160.0	16000.0	79332.5	358496.75	8
190	80.0	530963.5	190.0	19000.0	78956.0	432817.5	2
195	81.5	541748.75	194.0	19400.0	81732.75	440422.0	4
200	55.8	407071.8	200.0	20000.0	57165.6	329706.2	5
205	81.2	596830.8	204.0	20400.0	86261.9	489964.9	10
210	26.0	249627.0	210.0	21000.0	26555.0	201862.0	1
215	61.0	514330.0	214.0	21400.0	69075.0	423641.0	1
219	50.0	437565.2	218.0	21800.0	57126.3	358420.9	10
220	46.1	417317.7	220.0	22000.0	53034.1	342063.6	10
222	40.0	383942.0	222.0	22200.0	46218.25	315301.75	4
223	42.6	396725.1	222.0	22200.0	49575.2	324727.9	10
224	71.8	654330.2	224.0	22400.0	86105.6	545600.6	5
225	76.0	670478.2	224.0	22400.0	92781.0	555073.2	5
230	70.125	649777.625	230.0	23000.0	86353.375	540194.25	8
235	54.5	536292.2	234.0	23400.0	69560.7	443097.5	10
240	55.77777777777778	575616.4444444445	240.0	24000.0	72066.22222222222	479310.22222222225	9
245	19.0	234677.0	244.0	24400.0	22890.0	187143.0	1
