pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	111.14285714285714	171335.42857142858	100.0	48000.0	62790.0	60445.42857142857	7
105	129.66666666666666	179460.33333333334	104.0	49920.0	65505.333333333336	63931.0	3
110	108.375	180885.875	110.0	52800.0	61155.25	66820.625	8
115	105.4	184182.8	114.0	54720.0	60183.8	69165.0	5
116	94.1	179081.5	116.0	55680.0	51913.0	71372.5	10
117	83.0	176877.25	116.0	55680.0	50043.75	71037.5	4
118	93.1	183247.3	118.0	56640.0	54574.7	71914.6	10
119	102.5	184482.5	118.0	56640.0	55770.75	71953.75	4
120	80.8	176274.6	120.0	57600.0	44300.4	74254.2	10
121	83.5	177946.8	120.0	57600.0	45606.9	74619.9	10
122	74.0	177978.85714285713	122.0	58560.0	43012.142857142855	76284.71428571429	7
123	74.7	178685.5	122.0	58560.0	44016.3	75987.2	10
124	85.4	186885.4	124.0	59520.0	51027.1	76214.3	10
125	78.9	182537.5	124.0	59520.0	45904.2	76989.3	10
130	67.0	184237.5	130.0	62400.0	40871.4	80836.1	10
135	65.1	188337.9	134.0	64320.0	39473.2	84410.7	10
140	59.1	195503.7	140.0	67200.0	40330.2	87833.5	10
145	54.8	196260.6	144.0	69120.0	36222.6	90774.0	10
150	50.5	201023.2	150.0	72000.0	34226.7	94646.5	10
155	54.0	206537.2	154.0	73920.0	34577.7	97885.5	10
160	42.5	207790.3	160.0	76800.0	28986.4	101843.9	10
190	35.8	239411.0	190.0	91200.0	25643.8	122377.2	10
