pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	136.75	348480.75	100.0	10000.0	118486.0	219894.75	4
130	122.66666666666667	482779.3333333333	130.0	13000.0	138623.0	331026.3333333333	3
190	44.0	376579.0	190.0	19000.0	73301.0	284088.0	1
220	43.833333333333336	474215.5	220.0	22000.0	85678.83333333333	366316.6666666667	6
250	45.0	596405.875	250.0	25000.0	101732.875	469423.0	8
285	40.25	675386.5	284.0	28400.0	106746.5	539956.0	4
290	27.75	524713.375	290.0	29000.0	70695.375	424728.0	8
295	61.5	1057153.0	294.0	29400.0	170708.3	856750.7	10
296	17.2	358636.2	296.0	29600.0	43009.4	285730.8	5
297	22.0	444339.2	296.0	29600.0	54978.4	359464.8	5
298	40.2	749867.7	298.0	29800.0	107899.4	611870.3	10
299	48.5	870891.8	298.0	29800.0	134821.0	705972.8	10
300	36.3	689869.6	300.0	30000.0	98170.2	561399.4	10
301	49.3	875283.7	300.0	30000.0	137989.3	706994.4	10
302	39.5	765900.5	302.0	30200.0	112585.5	622813.0	2
303	40.666666666666664	785267.3333333334	302.0	30200.0	115619.66666666667	639145.6666666666	3
304	27.5	560200.8	304.0	30400.0	73035.1	456461.7	10
305	35.5	686882.5	304.0	30400.0	94276.25	561902.25	4
310	40.5	795015.0	310.0	31000.0	114985.8	648719.2	10
315	46.6	921000.7	314.0	31400.0	132919.3	756367.4	10
320	46.666666666666664	953242.0	320.0	32000.0	138441.0	782481.0	6
325	41.9	879578.2	324.0	32400.0	127873.8	718980.4	10
330	46.3	998718.5	330.0	33000.0	142278.4	823110.1	10
335	47.1	1024224.3	334.0	33400.0	147953.0	842537.3	10
