pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	1.0	801.0	70.0	700.0	5.0	26.0	10
100	1.0	1136.0	100.0	1000.0	5.0	31.0	10
105	1.0	930.7	101.2	807.8	5.2	16.5	10
110	1.0	1033.8	106.6	909.4	7.9	9.9	10
115	1.0	753.9	110.2	623.6	9.3	10.8	10
120	1.0	640.0	114.4	518.7	2.1	4.8	10
125	1.0	840.8	117.2	718.5	2.6	2.5	10
126	1.0	882.4	117.1	753.0	2.7	9.6	10
127	1.0	882.4	117.1	753.0	2.7	9.6	10
128	1.0	981.7	118.9	855.8	4.8	2.2	10
129	1.0	981.7	118.9	855.8	4.8	2.2	10
130	1.0	341.0	130.0	211.0	0.0	0.0	10
131	1.0	1002.3	120.7	867.8	3.4	10.4	10
132	1.0	1333.4	122.5	1188.0	5.1	17.8	10
133	1.0	1333.4	122.5	1188.0	5.1	17.8	10
134	1.0	1355.3	124.3	1206.0	10.7	14.3	10
135	1.0	916.4	124.2	781.3	4.2	6.7	10
140	1.0	1133.8	128.4	977.2	3.9	24.3	10
145	1.0	739.2	131.2	592.1	4.3	11.6	10
150	1.0	756.7	135.1	610.6	6.2	4.8	10
155	1.0	760.3	136.9	616.0	2.8	4.6	10
160	1.0	1779.0	160.0	1600.0	5.0	14.0	10
