pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
30	9.7	12973.2	30.0	3000.0	6118.0	3825.2	10
35	10.0	15817.0	34.0	3400.0	7178.5	5204.5	2
36	7.5	13521.6	36.0	3600.0	5510.7	4374.9	10
37	7.5	13521.6	36.0	3600.0	5510.7	4374.9	10
38	6.3	12659.7	38.0	3800.0	4804.5	4017.2	10
39	6.6	12970.3	38.0	3800.0	4984.0	4148.3	10
40	6.1	12851.0	40.0	4000.0	4860.6	3950.4	10
41	6.3	13192.1	40.0	4000.0	4553.6	4598.5	10
42	5.3	12477.5	42.0	4200.0	3978.6	4256.9	10
43	5.2	12303.3	42.0	4200.0	3806.0	4255.3	10
44	4.7	12710.0	44.0	4400.0	3952.9	4313.1	10
45	7.666666666666667	20478.666666666668	44.0	4400.0	9927.0	6107.666666666667	3
50	4.6	14990.1	50.0	5000.0	4775.5	5164.6	10
55	3.8	15075.8	54.0	5400.0	4287.0	5334.8	10
60	3.2	14340.6	60.0	6000.0	3063.3	5217.3	10
65	3.1	16065.4	64.0	6400.0	3448.5	6152.9	10
70	3.0	17801.2	70.0	7000.0	3635.2	7096.0	10
100	1.8	19591.8	100.0	10000.0	2149.6	7342.2	10
130	1.4	24985.6	130.0	13000.0	2446.4	9409.2	10
