pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	89.0	231014.33333333334	100.0	48000.0	122244.0	60670.333333333336	3
130	57.9	236133.7	130.0	62400.0	92522.8	81080.9	10
131	56.7	234383.7	130.0	62400.0	89919.0	81934.7	10
132	51.2	233646.9	132.0	63360.0	86623.5	83531.4	10
133	42.3	218638.9	132.0	63360.0	71672.3	83474.6	10
134	48.3	229143.7	134.0	64320.0	79948.1	84741.6	10
135	47.6	226480.5	134.0	64320.0	77272.6	84753.9	10
136	44.0	223110.3	136.0	65280.0	71211.5	86482.8	10
137	45.9	230973.7	136.0	65280.0	78862.7	86695.0	10
138	41.0	222617.0	138.0	66240.0	68501.3	87737.7	10
139	33.9	211147.6	138.0	66240.0	57217.2	87552.4	10
140	40.25	215675.5	140.0	67200.0	58384.75	89950.75	4
145	42.5	229896.6	144.0	69120.0	69391.8	91240.8	10
150	35.7	231505.3	150.0	72000.0	63684.3	95671.0	10
155	32.1	234316.3	154.0	73920.0	60629.5	99612.8	10
160	27.8	232506.6	160.0	76800.0	51833.9	103712.7	10
165	30.0	236773.8	164.0	78720.0	51057.9	106831.9	10
170	27.1	241970.8	170.0	81600.0	50761.3	109439.5	10
175	25.4	244590.5	174.0	83520.0	47701.6	113194.9	10
180	23.3	248808.6	180.0	86400.0	44167.1	118061.5	10
185	24.6	256200.8	184.0	88320.0	46745.4	120951.4	10
190	24.2	262585.7	190.0	91200.0	46672.4	124523.3	10
220	17.0	289564.5	220.0	105600.0	37516.3	146228.2	10
