pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	88.5	120443.5	70.0	7000.0	44113.0	69260.5	2
100	80.375	201307.125	100.0	10000.0	61331.25	129875.875	8
130	68.8	269854.5	130.0	13000.0	70049.0	186675.5	10
160	46.0	272663.0	160.0	16000.0	55131.0	201372.0	1
165	51.8	310613.7	164.0	16400.0	66815.1	227234.6	10
170	51.1	321827.5	170.0	17000.0	68084.1	236573.4	10
175	51.25	336578.5	174.0	17400.0	69942.125	249062.375	8
180	54.1	374565.6	180.0	18000.0	78793.0	277592.6	10
185	39.5	293683.7	184.0	18400.0	57187.9	217911.8	10
186	41.2	308246.1	186.0	18600.0	60048.4	229411.7	10
187	59.8	430351.4	186.0	18600.0	90009.6	321555.8	10
188	37.8	298369.1	188.0	18800.0	55603.2	223777.9	10
189	32.0	256410.8	188.0	18800.0	46725.4	190697.4	10
190	32.1	267407.4	190.0	19000.0	46959.2	201258.2	10
191	44.6	345986.7	190.0	19000.0	67086.7	259710.0	10
192	44.7	354268.7	192.0	19200.0	68109.6	266767.1	10
193	59.2	447497.8	192.0	19200.0	92566.8	335539.0	10
194	51.1	404772.5	194.0	19400.0	79765.9	305412.6	10
195	37.2	308573.9	194.0	19400.0	56671.5	232308.4	10
200	35.7	313309.5	200.0	20000.0	56445.3	236664.2	10
205	46.1	396283.1	204.0	20400.0	75488.0	300191.1	10
210	39.9	374012.2	210.0	21000.0	66275.9	286526.3	10
215	32.0	323215.9	214.0	21400.0	54378.5	247223.4	10
