pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	104.5	252508.0	100.0	48000.0	132782.75	71625.25	4
105	99.4	251656.2	104.0	49920.0	126739.7	74892.5	10
110	91.8	244321.4	110.0	52800.0	112057.0	79354.4	10
115	78.4	235353.1	114.0	54720.0	96145.4	84373.7	10
126	61.6	231456.1	126.0	60480.0	75682.8	95167.3	10
127	60.3	223105.1	126.0	60480.0	67356.2	95142.9	10
128	57.5	224625.5	128.0	61440.0	67090.3	95967.2	10
129	66.1	238474.4	128.0	61440.0	80570.2	96336.2	10
130	53.5	223744.5	130.0	62400.0	63570.5	97644.0	10
131	57.3	227445.4	130.0	62400.0	66701.7	98213.7	10
132	50.6	224090.4	132.0	63360.0	59815.6	100782.8	5
133	56.166666666666664	229300.66666666666	132.0	63360.0	65565.33333333333	100243.33333333333	6
134	56.4	234810.2	134.0	64320.0	67643.6	102712.6	10
135	64.14285714285714	242516.57142857142	134.0	64320.0	76004.0	102058.57142857143	7
140	49.4	236209.0	140.0	67200.0	60224.4	108644.6	10
145	45.3	232327.6	144.0	69120.0	52497.7	110565.9	10
150	44.6	240012.1	150.0	72000.0	50566.3	117295.8	10
155	41.3	244694.0	154.0	73920.0	50576.0	120044.0	10
160	35.9	246258.7	160.0	76800.0	43663.5	125635.2	10
190	25.1	276252.4	190.0	91200.0	30781.8	154080.6	10
