pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	44.0	184994.0	40.0	16000.0	121518.0	47436.0	1
70	19.9	217433.4	70.0	28000.0	124033.1	65330.3	10
75	22.2	276776.3	74.0	29600.0	168059.8	79042.5	10
80	15.5	211528.8	80.0	32000.0	109445.6	70003.2	10
85	16.2	243464.4	84.0	33600.0	131063.0	78717.4	10
90	14.4	238167.0	90.0	36000.0	121019.4	81057.6	10
95	13.7	244389.9	94.0	37600.0	121475.3	85220.6	10
100	11.3	215859.7	100.0	40000.0	94526.8	81232.9	10
105	10.4	219576.9	104.0	41600.0	95360.4	82512.5	10
110	11.2	254860.3	110.0	44000.0	114547.3	96203.0	10
115	9.9	242736.0	114.0	45600.0	102810.5	94211.5	10
120	8.0	213773.4	120.0	48000.0	76367.3	89286.1	10
121	8.7	228159.4	120.0	48000.0	86448.1	93591.3	10
122	8.9	244025.3	122.0	48800.0	97044.2	98059.1	10
123	9.3	248192.8	122.0	48800.0	99245.6	100025.2	10
124	8.2	228781.5	124.0	49600.0	84475.3	94582.2	10
125	7.4	205328.2	124.0	49600.0	68937.4	86666.8	10
126	8.1	228287.4	126.0	50400.0	84036.0	93725.4	10
127	9.2	265202.7	126.0	50400.0	108664.6	106012.1	10
128	8.0	237221.0	128.0	51200.0	88094.5	97798.5	10
129	7.2	209586.6	128.0	51200.0	69556.4	88702.2	10
130	8.5	254116.6	130.0	52000.0	97579.8	104406.8	10
