pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
135	147.0	471802.6666666667	134.0	112560.0	185073.33333333334	174035.33333333334	3
140	127.57142857142857	469479.4285714286	140.0	117600.0	166468.85714285713	185270.57142857142	7
141	119.7	452748.8	140.0	117600.0	151749.9	183258.9	10
142	127.1	465997.9	142.0	119280.0	162636.1	183939.8	10
143	109.83333333333333	444083.3333333333	142.0	119280.0	138896.0	185765.33333333334	6
144	125.6	467564.4	144.0	120960.0	159441.1	187019.3	10
145	122.1	464583.9	144.0	120960.0	153843.6	189636.3	10
146	101.5	434991.0	146.0	122640.0	117230.0	194975.0	2
147	100.6	455321.8	146.0	122640.0	139489.8	193046.0	10
148	107.5	461257.0	148.0	124320.0	142908.33333333334	193880.66666666666	6
149	119.4	474036.4	148.0	124320.0	155535.0	194033.4	5
150	115.4	474927.0	150.0	126000.0	149168.2	199608.8	10
155	103.5	469317.1	154.0	129360.0	135784.2	204018.9	10
160	94.2	477913.8	160.0	134400.0	128479.9	214873.9	10
165	93.22222222222223	482186.3333333333	164.0	137760.0	126749.11111111111	217513.22222222222	9
170	81.6	475823.8	170.0	142800.0	105216.5	227637.3	10
175	85.33333333333333	491111.3333333333	174.0	146160.0	107648.0	237129.33333333334	3
180	75.0	494270.25	180.0	151200.0	99908.5	242981.75	8
185	75.3	502987.9	184.0	154560.0	96845.7	251398.2	10
190	56.5	511765.7	190.0	159600.0	86330.5	265645.2	10
220	46.7	561301.5	220.0	184800.0	70752.9	305528.6	10
250	30.6	620929.2	250.0	210000.0	51379.1	359300.1	10
