pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	116.66666666666667	44158.333333333336	40.0	4000.0	15541.333333333334	24577.0	3
100	89.75	161522.75	100.0	10000.0	31851.5	119571.25	4
130	86.6	242444.9	130.0	13000.0	43033.1	186281.8	10
135	74.8	229645.4	134.0	13400.0	38498.9	177612.5	10
140	58.5	199769.3	140.0	14000.0	30484.5	155144.8	10
141	65.0	211549.4	140.0	14000.0	34344.9	163064.5	10
142	51.6	180845.5	142.0	14200.0	26445.3	140058.2	10
143	54.8	192389.7	142.0	14200.0	29551.3	148496.4	10
144	56.0	197622.9	144.0	14400.0	29872.8	153206.1	10
145	39.8	146521.5	144.0	14400.0	20593.8	111383.7	10
146	71.0	253372.25	146.0	14600.0	39058.25	199568.0	4
147	58.1	211720.6	146.0	14600.0	31512.6	165462.0	10
148	52.5	201679.9	148.0	14800.0	28935.9	157796.0	10
149	52.7	201868.4	148.0	14800.0	29076.4	157844.0	10
150	47.8	190750.0	150.0	15000.0	26334.2	149265.8	10
155	50.3	204439.3	154.0	15400.0	29336.2	159549.1	10
160	41.9	186781.7	160.0	16000.0	25427.5	145194.2	10
165	44.5	209647.3	164.0	16400.0	27361.1	165722.2	10
170	44.1	220317.3	170.0	17000.0	28587.7	174559.6	10
175	36.7	198605.5	174.0	17400.0	24052.7	156978.8	10
180	50.7	273214.8	180.0	18000.0	35665.7	219369.1	10
185	42.0	243410.1	184.0	18400.0	29998.4	194827.7	10
