pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	83.0	265946.3333333333	100.0	48000.0	147751.66666666666	70094.66666666667	3
131	51.8	271371.8	130.0	62400.0	108863.5	99978.3	10
132	50.0	274369.4	132.0	63360.0	110252.0	100625.4	10
133	50.8	271372.0	132.0	63360.0	108093.1	99786.9	10
134	55.1	283555.4	134.0	64320.0	116131.6	102969.8	10
135	43.7	263549.2	134.0	64320.0	97661.7	101433.5	10
136	53.9	285636.6	136.0	65280.0	115961.8	104258.8	10
137	44.5	270797.5	136.0	65280.0	99651.2	105730.3	10
138	43.4	268492.7	138.0	66240.0	95500.9	106613.8	10
139	44.0	275790.6666666667	138.0	66240.0	102898.33333333333	106514.33333333333	3
140	45.9	277402.0	140.0	67200.0	101728.7	108333.3	10
145	39.8	275401.9	144.0	69120.0	94361.6	111776.3	10
150	36.9	268901.1	150.0	72000.0	80079.9	116671.2	10
155	38.7	291232.5	154.0	73920.0	94747.2	122411.3	10
160	34.8	290440.0	160.0	76800.0	85891.0	127589.0	10
165	32.1	285808.3	164.0	78720.0	77060.9	129863.4	10
170	27.4	289878.7	170.0	81600.0	70810.3	137298.4	10
175	24.5	289359.5	174.0	83520.0	66135.0	139530.5	10
180	28.0	306252.5	180.0	86400.0	73542.0	146130.5	10
185	24.4	304155.6	184.0	88320.0	66532.2	149119.4	10
190	23.9	311505.8	190.0	91200.0	65270.4	154845.4	10
220	15.8	340854.1	220.0	105600.0	50887.5	184146.6	10
