pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	157.0	141428.0	70.0	7000.0	118487.0	15871.0	1
130	103.0	198432.0	130.0	13000.0	145561.0	39741.0	1
190	50.888888888888886	177731.11111111112	190.0	19000.0	109880.77777777778	48660.333333333336	9
220	33.666666666666664	152496.0	220.0	22000.0	75812.66666666667	54463.333333333336	3
225	56.0	236034.33333333334	224.0	22400.0	145042.5	68367.83333333333	6
230	54.666666666666664	242450.16666666666	230.0	23000.0	151646.66666666666	67573.5	6
231	34.875	166712.5	230.0	23000.0	85680.875	57801.625	8
232	36.125	175797.625	232.0	23200.0	94160.125	58205.5	8
233	32.5	161480.9	232.0	23200.0	81553.1	56495.8	10
234	39.57142857142857	193513.42857142858	234.0	23400.0	111173.42857142857	58706.0	7
235	43.3	199728.7	234.0	23400.0	112010.1	64084.6	10
236	63.666666666666664	279922.55555555556	236.0	23600.0	180737.77777777778	75348.77777777778	9
237	96.5	399778.5	236.0	23600.0	299355.0	76587.5	2
238	46.1	223986.0	238.0	23800.0	135824.0	64124.0	10
239	40.25	194975.5	238.0	23800.0	106049.0	64888.5	4
240	23.6	129837.4	240.0	24000.0	56327.2	49270.2	5
245	56.3	273190.6	244.0	24400.0	178816.6	69730.0	10
250	42.1	214927.5	250.0	25000.0	119965.6	69711.9	10
255	54.9	268878.1	254.0	25400.0	164019.1	79205.0	10
260	45.5	234165.5	260.0	26000.0	126039.0	81866.5	2
265	52.375	273764.5	264.0	26400.0	169124.875	77975.625	8
270	41.2	240453.0	270.0	27000.0	138390.9	74792.1	10
275	35.0	209433.5	274.0	27400.0	104436.0	77323.5	2
