pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	4.0	58278.0	100.0	40000.0	6447.0	11731.0	1
130	2.5	78109.0	130.0	52000.0	7709.5	18269.5	2
160	2.25	91717.5	160.0	64000.0	7592.125	19965.375	8
180	2.0	101365.0	180.0	72000.0	6602.0	22583.0	2
185	3.0	100300.0	184.0	73600.0	5941.0	20575.0	1
186	2.1666666666666665	103854.0	186.0	74400.0	6463.833333333333	22804.166666666668	6
187	2.5	108094.5	186.0	74400.0	7282.5	26226.0	2
188	2.5	107491.3	188.0	75200.0	7513.6	24589.7	10
189	2.2	106169.2	188.0	75200.0	6695.6	24085.6	10
190	2.2	106907.9	190.0	76000.0	6772.6	23945.3	10
191	2.1666666666666665	108929.0	190.0	76000.0	7701.833333333333	25037.166666666668	6
192	2.3333333333333335	110949.16666666667	192.0	76800.0	7068.0	26889.166666666668	6
193	2.0	109005.5	192.0	76800.0	5615.0	26398.5	2
194	2.5	112109.5	194.0	77600.0	8740.5	25575.0	2
195	2.0	112561.66666666667	194.0	77600.0	6909.0	27858.666666666668	3
205	2.1	114883.7	204.0	81600.0	6789.1	26290.6	10
210	2.3333333333333335	115654.66666666667	210.0	84000.0	5411.0	26033.666666666668	3
215	2.5555555555555554	123833.0	214.0	85600.0	9772.333333333334	28246.666666666668	9
