pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
130	81.0	293430.5	130.0	13000.0	82015.0	198285.5	2
160	108.375	535753.75	160.0	16000.0	140028.25	379565.5	8
190	86.0	573582.0	190.0	19000.0	136999.4	417392.6	5
225	77.0	693100.1666666666	224.0	22400.0	140299.5	530176.6666666666	6
230	55.5	542055.75	230.0	23000.0	101791.0	417034.75	4
235	64.77777777777777	642700.1111111111	234.0	23400.0	123627.33333333333	495438.77777777775	9
240	53.3	558675.0	240.0	24000.0	105247.3	429187.7	10
245	70.1	745536.9	244.0	24400.0	144639.2	576253.7	10
246	44.0	499995.1111111111	246.0	24600.0	86964.22222222222	388184.8888888889	9
247	60.9	656404.8	246.0	24600.0	126967.4	504591.4	10
248	54.0	610259.7777777778	248.0	24800.0	109370.55555555556	475841.22222222225	9
249	60.3	659904.9	248.0	24800.0	124992.0	509864.9	10
250	43.9	514903.8	250.0	25000.0	89921.7	399732.1	10
251	75.5	828062.0	250.0	25000.0	155994.4	646817.6	10
254	10.0	163172.0	254.0	25400.0	18481.0	119037.0	1
255	64.2	733001.6	254.0	25400.0	135901.0	571446.6	10
265	43.57142857142857	567031.2857142857	264.0	26400.0	92581.14285714286	447786.14285714284	7
270	54.4	708186.5	270.0	27000.0	120624.6	560291.9	10
275	49.111111111111114	656144.5555555555	274.0	27400.0	109041.11111111111	519429.44444444444	9
