pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	4.5	33802.0	70.0	28000.0	805.0	4927.0	2
100	2.7777777777777777	47975.0	100.0	40000.0	729.2222222222222	7145.777777777777	9
101	2.3	47968.7	100.0	40000.0	681.6	7187.1	10
104	1.3333333333333333	49771.0	104.0	41600.0	645.0	7422.0	3
105	2.5	49862.7	104.0	41600.0	689.5	7469.2	10
106	3.5	51057.5	106.0	42400.0	915.8	7635.7	10
107	3.0	50915.142857142855	106.0	42400.0	797.7142857142857	7611.428571428572	7
108	2.8	51873.2	108.0	43200.0	789.0	7776.2	10
109	2.0	51758.5	108.0	43200.0	723.0	7727.5	2
110	2.2857142857142856	52729.0	110.0	44000.0	701.5714285714286	7917.428571428572	7
115	1.8	54574.9	114.0	45600.0	654.0	8206.9	10
120	2.8	57529.8	120.0	48000.0	783.8	8626.0	10
125	2.6	59415.6	124.0	49600.0	756.9	8934.7	10
130	2.3	62245.8	130.0	52000.0	766.8	9349.0	10
135	2.5555555555555554	64187.22222222222	134.0	53600.0	796.7777777777778	9656.444444444445	9
140	2.6	67081.8	140.0	56000.0	842.7	10099.1	10
145	2.2	68916.2	144.0	57600.0	805.1	10367.1	10
150	2.9	71894.7	150.0	60000.0	922.2	10822.5	10
155	2.5	73744.5	154.0	61600.0	911.6	11078.9	10
160	2.1	76512.1	160.0	64000.0	800.2	11551.9	10
