pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
25	27.2	35149.6	24.0	2400.0	28901.8	3823.8	5
30	11.857142857142858	17354.714285714286	30.0	3000.0	10174.142857142857	4150.571428571428	7
40	8.2	19518.4	40.0	4000.0	10742.9	4735.5	10
45	7.333333333333333	19965.666666666668	44.0	4400.0	10074.666666666666	5447.0	3
46	7.9	22378.0	46.0	4600.0	11589.0	6143.0	10
47	7.9	22378.0	46.0	4600.0	11589.0	6143.0	10
48	6.3	20108.1	48.0	4800.0	9248.6	6011.5	10
49	6.3	20108.1	48.0	4800.0	9248.6	6011.5	10
50	5.1	16911.0	50.0	5000.0	6227.2	5633.8	10
51	5.9	19226.0	50.0	5000.0	7842.0	6334.0	10
52	5.2	18615.5	52.0	5200.0	7259.1	6104.4	10
53	5.2	18615.5	52.0	5200.0	7259.1	6104.4	10
54	5.4	20087.6	54.0	5400.0	7647.8	6985.8	10
55	4.888888888888889	18638.777777777777	54.0	5400.0	6780.777777777777	6404.0	9
60	4.1	19109.7	60.0	6000.0	6152.2	6897.5	10
65	3.0	18580.0	64.0	6400.0	4876.0	7240.0	1
70	3.7	21196.4	70.0	7000.0	6656.2	7470.2	10
100	2.4	23905.6	100.0	10000.0	4442.0	9363.6	10
130	1.8	28170.2	130.0	13000.0	3378.4	11661.8	10
