pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	94.5	310741.5	100.0	48000.0	190447.0	72194.5	2
105	88.33333333333333	300286.6666666667	104.0	49920.0	175711.0	74551.66666666667	3
110	71.1	293960.7	110.0	52800.0	160665.2	80385.5	10
120	58.166666666666664	284259.6666666667	120.0	57600.0	136073.16666666666	90466.5	6
125	61.7	300907.4	124.0	59520.0	147006.4	94257.0	10
126	55.7	299628.6	126.0	60480.0	143642.5	95380.1	10
127	51.57142857142857	282153.0	126.0	60480.0	126990.28571428571	94556.71428571429	7
128	53.7	281746.9	128.0	61440.0	122643.7	97535.2	10
129	57.7	294549.7	128.0	61440.0	135875.6	97106.1	10
130	53.7	289816.3	130.0	62400.0	127773.4	99512.9	10
131	49.1	287975.4	130.0	62400.0	125123.0	100322.4	10
132	49.0	295138.6	132.0	63360.0	128943.9	102702.7	10
133	46.2	281685.6	132.0	63360.0	118952.6	99241.0	10
134	51.4	291631.6	134.0	64320.0	125469.1	101708.5	10
135	47.5	303367.4	134.0	64320.0	136054.6	102858.8	10
140	48.8	301746.9	140.0	67200.0	126408.7	107998.2	10
145	42.9	301376.5	144.0	69120.0	119962.7	112149.8	10
150	35.0	290628.0	150.0	72000.0	101201.5	117276.5	10
155	34.3	293333.8	154.0	73920.0	98031.8	121228.0	10
160	33.3	297528.3	160.0	76800.0	91769.9	128798.4	10
190	22.7	323278.1	190.0	91200.0	74763.4	157124.7	10
220	16.8	361697.0	220.0	105600.0	66217.3	189659.7	10
