pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
20	32.0	12555.0	20.0	2000.0	8365.5	2169.5	2
21	30.166666666666668	10657.166666666666	20.0	2000.0	6572.5	2064.6666666666665	6
22	33.0	14408.5	22.0	2200.0	9521.0	2665.5	2
23	33.0	14408.5	22.0	2200.0	9521.0	2665.5	2
24	35.2	13047.0	24.0	2400.0	7854.1	2768.9	10
25	24.2	11816.5	24.0	2400.0	6899.2	2493.3	10
26	22.7	12294.0	26.0	2600.0	6861.6	2806.4	10
27	22.5	12192.7	26.0	2600.0	6795.8	2770.9	10
28	18.8	12802.0	28.0	2800.0	7108.8	2865.2	10
29	18.8	12685.9	28.0	2800.0	6980.1	2877.8	10
30	17.6	13010.5	30.0	3000.0	7021.7	2958.8	10
35	14.0	13409.0	34.0	3400.0	6620.6	3354.4	10
40	9.1	12238.6	40.0	4000.0	4972.9	3225.7	10
45	7.7	12292.6	44.0	4400.0	4415.0	3433.6	10
50	6.8	13477.1	50.0	5000.0	4491.0	3936.1	10
55	6.3	14317.3	54.0	5400.0	4751.6	4111.7	10
60	5.7	15883.2	60.0	6000.0	5098.9	4724.3	10
65	5.4	15919.4	64.0	6400.0	4538.5	4916.9	10
70	3.3	13263.5	70.0	7000.0	2582.7	3610.8	10
100	3.0	19870.6	100.0	10000.0	3077.1	6693.5	10
130	1.7	21430.2	130.0	13000.0	2072.2	6228.0	10
