pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	110.0	237914.0	100.0	48000.0	128922.0	60892.0	3
105	89.0	219138.66666666666	104.0	49920.0	105673.55555555556	63441.11111111111	9
110	83.7	218588.8	110.0	52800.0	98343.9	67334.9	10
115	77.0	212788.0	114.0	54720.0	86164.0	71790.0	1
120	69.3	209921.1	120.0	57600.0	77352.7	74848.4	10
125	63.6	208611.3	124.0	59520.0	71042.7	77924.6	10
130	54.4	208711.3	130.0	62400.0	63892.7	82288.6	10
131	45.666666666666664	202004.5	130.0	62400.0	56785.0	82689.5	6
132	49.6	202254.7	132.0	63360.0	54734.5	84028.2	10
133	51.0	210013.2	132.0	63360.0	63176.8	83344.4	5
134	55.1	211625.3	134.0	64320.0	61967.3	85204.0	10
135	50.9	208434.3	134.0	64320.0	59504.0	84476.3	10
136	58.5	223995.2	136.0	65280.0	73169.3	85409.9	10
137	50.0	209468.0	136.0	65280.0	56856.833333333336	87195.16666666667	6
138	50.3	213871.6	138.0	66240.0	59717.6	87776.0	10
139	49.1	211938.6	138.0	66240.0	58076.8	87483.8	10
140	47.6	210373.8	140.0	67200.0	53962.2	89071.6	10
145	41.5	209139.7	144.0	69120.0	47574.0	92301.7	10
150	38.1	215541.5	150.0	72000.0	47476.9	95914.6	10
155	38.6	220454.5	154.0	73920.0	47493.6	98886.9	10
160	34.4	219873.6	160.0	76800.0	39013.2	103900.4	10
190	23.4	244755.9	190.0	91200.0	28412.0	124953.9	10
220	19.2	276066.0	220.0	105600.0	25938.4	144307.6	10
