pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	10.4	15225.3	40.0	4000.0	6443.5	4741.8	10
45	10.428571428571429	19859.714285714286	44.0	4400.0	10000.714285714286	5415.0	7
50	7.0	15930.6	50.0	5000.0	5793.5	5087.1	10
55	5.5	14546.7	54.0	5400.0	4293.6	4799.1	10
60	4.571428571428571	14804.285714285714	60.0	6000.0	3502.4285714285716	5241.857142857143	7
65	4.1	14723.0	64.0	6400.0	2928.3	5330.7	10
66	3.6	13825.4	66.0	6600.0	2352.2	4807.2	10
67	3.8	14432.2	66.0	6600.0	2684.3	5081.9	10
68	4.3	17344.5	68.0	6800.0	4171.2	6305.3	10
69	4.3	17344.5	68.0	6800.0	4171.2	6305.3	10
70	2.9	14393.1	70.0	7000.0	1841.4	5481.7	10
71	4.3	20178.3	70.0	7000.0	6497.4	6610.9	10
72	3.8	17077.7	72.0	7200.0	3462.9	6342.8	10
73	3.8	17077.7	72.0	7200.0	3462.9	6342.8	10
74	3.4	16023.5	74.0	7400.0	2642.8	5906.7	10
75	3.5	16784.8	74.0	7400.0	3412.1	5898.7	10
80	4.0	23230.9	80.0	8000.0	7058.1	8092.8	10
85	3.1	19307.6	84.0	8400.0	3411.6	7412.0	10
90	2.1	17852.9	90.0	9000.0	2169.8	6593.1	10
95	2.4	20551.1	94.0	9400.0	3372.1	7685.0	10
100	2.4	20241.6	100.0	10000.0	2410.4	7731.2	10
130	1.8	23534.5	130.0	13000.0	1858.0	8546.5	10
