pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
105	2.0	49290.333333333336	104.0	41600.0	133.0	7453.333333333333	3
110	2.0	50862.5	110.0	44000.0	205.5	6547.0	2
115	1.8	54025.4	114.0	45600.0	118.2	8193.2	5
116	2.0	55006.6	116.0	46400.0	158.4	8332.2	5
117	2.5	55053.5	116.0	46400.0	173.5	8364.0	8
118	2.0	55964.5	118.0	47200.0	194.5	8452.0	2
119	2.2	56003.8	118.0	47200.0	186.6	8499.2	10
120	2.6	57004.5	120.0	48000.0	242.2	8642.3	10
122	1.9	57887.2	122.0	48800.0	172.1	8793.1	10
123	2.142857142857143	57908.57142857143	122.0	48800.0	183.85714285714286	8802.714285714286	7
124	2.25	58835.0	124.0	49600.0	167.75	8943.25	4
125	2.0	58834.0	124.0	49600.0	117.66666666666667	8992.333333333334	3
130	2.8	61720.4	130.0	52000.0	255.1	9335.3	10
135	2.5	63607.75	134.0	53600.0	204.0	9669.75	4
145	2.2	68282.3	144.0	57600.0	185.4	10352.9	10
150	2.0	71023.0	150.0	60000.0	93.0	10780.0	1
155	1.9	73033.3	154.0	61600.0	177.6	11101.7	10
160	1.9	74505.7	160.0	64000.0	150.2	10195.5	10
190	2.0	89782.3	190.0	76000.0	332.1	13260.2	10
220	2.0	104297.3	220.0	88000.0	232.1	15845.2	10
