pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
20	29.0	11650.8	20.0	2000.0	7122.8	2508.0	10
25	27.6	19457.2	24.0	2400.0	13656.6	3376.6	10
30	13.8	11454.9	30.0	3000.0	5260.5	3164.4	10
31	12.9	12082.2	30.0	3000.0	6221.7	2830.5	10
32	13.9	13195.9	32.0	3200.0	6217.2	3746.7	10
33	13.9	13195.9	32.0	3200.0	6217.2	3746.7	10
34	12.2	13270.7	34.0	3400.0	5941.8	3894.9	10
35	11.1	11049.3	34.0	3400.0	4211.5	3403.8	10
36	9.2	11018.0	36.0	3600.0	4012.1	3369.9	10
37	9.2	11018.0	36.0	3600.0	4012.1	3369.9	10
38	8.8	11502.7	38.0	3800.0	4096.1	3568.6	10
39	8.8	11502.7	38.0	3800.0	4096.1	3568.6	10
40	8.2	11181.8	40.0	4000.0	3406.0	3735.8	10
45	6.5	11980.8	44.0	4400.0	3748.3	3788.5	10
50	5.1	11940.8	50.0	5000.0	2537.2	4353.6	10
55	5.0	13182.1	54.0	5400.0	3210.3	4517.8	10
60	3.4	11973.8	60.0	6000.0	1797.4	4116.4	10
65	3.5	13639.9	64.0	6400.0	2471.5	4704.4	10
70	2.9	14307.6	70.0	7000.0	1922.4	5315.2	10
100	1.7	18205.8	100.0	10000.0	1289.2	6816.6	10
130	1.8	24235.2	130.0	13000.0	1728.1	9377.1	10
