pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	2.4	33154.6	70.0	28000.0	123.4	4961.2	5
130	2.7142857142857144	61599.28571428572	130.0	52000.0	97.0	9372.285714285714	7
161	2.0	75774.0	160.0	64000.0	86.0	11528.0	1
162	1.5	76731.2	162.0	64800.0	91.3	11677.9	10
163	1.7	76713.7	162.0	64800.0	89.7	11662.0	10
164	3.1	77656.4	164.0	65600.0	88.7	11803.7	10
165	1.8	77634.9	164.0	65600.0	91.7	11779.2	10
166	1.9	78615.5	166.0	66400.0	89.6	11959.9	10
167	2.5	78207.3	166.0	66400.0	91.5	11549.8	10
168	2.0	79528.2	168.0	67200.0	88.9	12071.3	10
169	2.3	79560.4	168.0	67200.0	90.0	12102.4	10
170	2.0	80505.0	170.0	68000.0	136.0	12199.0	1
175	1.75	82440.75	174.0	69600.0	89.25	12577.5	8
180	1.7	85241.8	180.0	72000.0	90.5	12971.3	10
185	3.2	87133.5	184.0	73600.0	91.1	13258.4	10
190	2.4	89950.3	190.0	76000.0	92.3	13668.0	10
195	3.3	91838.7	194.0	77600.0	92.0	13952.7	10
200	3.0	94663.0	200.0	80000.0	96.0	14367.0	1
205	2.5	96531.0	204.0	81600.0	85.6	14641.4	10
215	1.6666666666666667	101291.66666666667	214.0	85600.0	86.0	15391.666666666666	3
220	2.5	104177.875	220.0	88000.0	89.875	15868.0	8
250	3.3333333333333335	118374.5	250.0	100000.0	89.33333333333333	18035.166666666668	6
280	2.0	132447.0	280.0	112000.0	92.75	20074.25	4
310	2.6	146692.8	310.0	124000.0	90.8	22292.0	10
