pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
130	2.0	67489.0	130.0	52000.0	3809.0	11550.0	1
160	1.5	83854.0	160.0	64000.0	3474.25	16219.75	4
190	1.0	105770.0	190.0	76000.0	4924.0	24656.0	1
220	1.0	117513.0	220.0	88000.0	4354.0	24939.0	1
250	1.1666666666666667	131384.66666666666	250.0	100000.0	5784.0	25350.666666666668	6
280	1.0	150446.0	280.0	112000.0	5954.0	32212.0	1
315	1.3333333333333333	165006.66666666666	314.0	125600.0	6190.0	32902.666666666664	3
316	1.2	165359.4	316.0	126400.0	4996.6	33646.8	10
317	1.0	166085.2	316.0	126400.0	5373.2	33996.0	10
318	1.1	163200.2	318.0	127200.0	4586.6	31095.6	10
319	1.0	164694.7	318.0	127200.0	4576.8	32599.9	10
320	1.0	167259.2	320.0	128000.0	6095.3	32843.9	10
321	1.1	166084.8	320.0	128000.0	4978.7	32786.1	10
322	1.0	163825.2	322.0	128800.0	4242.9	30460.3	10
323	1.0	169944.33333333334	322.0	128800.0	5590.0	35232.333333333336	3
324	1.2	169497.2	324.0	129600.0	4623.5	34949.7	10
325	1.2	167895.0	324.0	129600.0	5924.5	32046.5	10
330	1.0	170994.5	330.0	132000.0	4646.8	34017.7	10
335	1.2	174804.2	334.0	133600.0	6344.5	34525.7	10
340	1.3	178956.6	340.0	136000.0	5870.5	36746.1	10
345	1.0	179173.2	344.0	137600.0	5325.5	35903.7	10
350	1.0	184883.2	350.0	140000.0	5780.3	38752.9	10
355	1.1	185798.9	354.0	141600.0	5817.5	38027.4	10
360	1.4	187203.4	360.0	144000.0	6336.2	36507.2	10
365	1.1	192336.9	364.0	145600.0	6205.4	40167.5	10
