pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
20	19.0	13983.25	20.0	2000.0	9402.5	2560.75	4
25	14.0	12916.0	24.0	2400.0	7510.5	2981.5	2
30	10.666666666666666	13732.666666666666	30.0	3000.0	7028.666666666667	3674.0	3
35	8.5	13357.5	34.0	3400.0	6115.0	3808.5	8
36	12.0	27174.0	36.0	3600.0	18389.0	5149.0	1
37	12.0	27174.0	36.0	3600.0	18389.0	5149.0	1
38	7.6	14867.7	38.0	3800.0	6767.4	4262.3	10
39	7.5	14633.6	38.0	3800.0	6567.1	4228.5	10
40	5.4	12193.5	40.0	4000.0	4450.8	3702.7	10
41	5.9	12720.3	40.0	4000.0	4915.7	3764.6	10
42	5.0	12026.2	42.0	4200.0	3907.0	3877.2	10
43	5.0	12026.2	42.0	4200.0	3907.0	3877.2	10
44	4.9	13258.0	44.0	4400.0	4892.2	3921.8	10
45	4.9	12944.4	44.0	4400.0	4468.7	4031.7	10
50	4.2	13153.3	50.0	5000.0	3714.5	4388.8	10
55	3.625	14271.5	54.0	5400.0	4184.125	4633.375	8
60	3.8	16770.9	60.0	6000.0	4598.0	6112.9	10
65	3.0	15130.8	64.0	6400.0	3392.0	5274.8	10
70	2.3	15637.1	70.0	7000.0	3029.1	5538.0	10
100	1.4	18074.0	100.0	10000.0	1687.2	6286.8	10
130	1.4	22211.0	130.0	13000.0	1947.8	7133.2	10
