pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
130	4.0	74911.0	130.0	52000.0	10195.0	12586.0	1
250	4.0	124605.0	250.0	100000.0	4022.0	20333.0	1
255	2.7142857142857144	142407.7142857143	254.0	101600.0	9398.42857142857	31155.285714285714	7
260	2.5714285714285716	143524.42857142858	260.0	104000.0	8128.857142857143	31135.571428571428	7
276	3.0	148849.0	276.0	110400.0	7022.0	31151.0	1
277	3.0	147761.1	276.0	110400.0	8448.9	28636.2	10
278	2.6	144600.4	278.0	111200.0	6489.1	26633.3	10
279	2.5	144360.5	278.0	111200.0	6436.0	26446.5	2
280	3.5	148602.4	280.0	112000.0	8189.8	28132.6	10
281	3.0	158435.0	280.0	112000.0	10440.0	35715.0	4
282	2.7	151036.3	282.0	112800.0	8688.9	29265.4	10
283	3.1	154513.0	282.0	112800.0	10788.2	30642.8	10
284	2.6666666666666665	154120.0	284.0	113600.0	9739.833333333334	30496.166666666668	6
285	3.3	159296.5	284.0	113600.0	11689.8	33722.7	10
290	2.857142857142857	157993.85714285713	290.0	116000.0	9043.142857142857	32660.714285714286	7
295	2.9	160885.0	294.0	117600.0	10211.0	32780.0	10
300	3.1	158463.1	300.0	120000.0	8140.6	30022.5	10
305	3.2	167753.6	304.0	121600.0	10768.6	35081.0	5
310	3.25	173781.0	310.0	124000.0	10873.0	38598.0	4
340	3.0	188743.1	340.0	136000.0	10462.3	41940.8	10
