pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	9.0	20885.2	40.0	4000.0	11293.8	5551.4	5
70	3.6	20938.0	70.0	7000.0	6804.8	7063.2	5
75	3.6	22247.2	74.0	7400.0	6369.6	8403.6	5
80	3.2	23061.6	80.0	8000.0	5984.8	8996.8	5
86	3.0	22029.0	86.0	8600.0	4874.0	8469.0	1
87	3.0	22029.0	86.0	8600.0	4874.0	8469.0	1
88	2.4285714285714284	21034.14285714286	88.0	8800.0	3750.1428571428573	8396.0	7
89	2.5	23967.5	88.0	8800.0	5033.0	10046.5	2
90	2.6	23763.5	90.0	9000.0	5700.0	8973.5	10
91	2.0	19879.0	90.0	9000.0	2878.0	7911.0	2
92	1.8888888888888888	20944.11111111111	92.0	9200.0	3574.777777777778	8077.333333333333	9
93	1.8888888888888888	20944.11111111111	92.0	9200.0	3574.777777777778	8077.333333333333	9
94	2.0	20363.0	94.0	9400.0	4027.0	6842.0	1
100	2.7	25335.9	100.0	10000.0	4861.7	10374.2	10
115	2.25	27632.5	114.0	11400.0	4188.75	11929.75	4
120	1.8888888888888888	25470.444444444445	120.0	12000.0	3306.3333333333335	10044.111111111111	9
125	1.8	25986.5	124.0	12400.0	3003.3	10459.2	10
130	2.0	32817.5	130.0	13000.0	5299.6	14387.9	10
