pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
130	2.3333333333333335	61622.0	130.0	52000.0	136.66666666666666	9355.333333333334	3
160	3.3333333333333335	75800.33333333333	160.0	64000.0	119.33333333333333	11521.0	6
190	1.8888888888888888	89984.33333333333	190.0	76000.0	107.33333333333333	13687.0	9
220	2.0	104083.66666666667	220.0	88000.0	160.33333333333334	15703.333333333334	3
250	2.6666666666666665	118426.33333333333	250.0	100000.0	96.66666666666667	18079.666666666668	3
310	3.0	147118.5	310.0	124000.0	1763.1666666666667	21045.333333333332	6
340	1.6666666666666667	160828.0	340.0	136000.0	93.33333333333333	24394.666666666668	3
345	3.0	173882.0	344.0	137600.0	1716.0	34222.0	2
350	1.6666666666666667	165629.0	350.0	140000.0	101.66666666666667	25177.333333333332	3
355	2.0	167491.75	354.0	141600.0	98.0	25439.75	4
360	2.0	170523.0	360.0	144000.0	97.0	26066.0	1
365	1.4285714285714286	172318.0	364.0	145600.0	117.71428571428571	26236.285714285714	7
366	3.0	173215.25	366.0	146400.0	102.0	26347.25	4
367	7.0	173187.5	366.0	146400.0	89.5	26332.0	2
368	4.0	174206.5	368.0	147200.0	109.0	26529.5	2
370	2.0	175099.6	370.0	148000.0	108.2	26621.4	10
371	1.5	174939.5	370.0	148000.0	108.5	26461.0	2
372	2.0	177925.0	372.0	148800.0	4166.0	24587.0	1
373	1.0	176138.0	372.0	148800.0	87.0	26879.0	1
385	3.3333333333333335	181765.33333333334	384.0	153600.0	103.33333333333333	27678.0	3
390	1.0	184540.0	390.0	156000.0	82.0	28068.0	1
395	5.0	186489.0	394.0	157600.0	97.0	28398.0	2
