pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	3.0	63989.0	100.0	40000.0	13568.0	10321.0	1
130	2.0	71430.0	130.0	52000.0	5360.0	13940.0	1
160	1.5	85897.5	160.0	64000.0	3557.5	18180.0	2
190	1.2	103334.6	190.0	76000.0	4492.6	22652.0	5
191	1.6	104618.9	190.0	76000.0	5476.7	22952.2	10
192	1.3	104457.1	192.0	76800.0	4852.7	22612.4	10
193	1.1	103917.4	192.0	76800.0	4844.1	22081.3	10
194	1.3	104758.2	194.0	77600.0	4722.5	22241.7	10
195	1.2	103469.1	194.0	77600.0	4212.1	21463.0	10
196	1.4285714285714286	107239.57142857143	196.0	78400.0	6276.428571428572	22367.14285714286	7
198	1.1	107623.5	198.0	79200.0	4392.4	23833.1	10
199	1.2	109529.1	198.0	79200.0	5142.5	24988.6	10
200	1.6666666666666667	109978.66666666667	200.0	80000.0	5439.0	24339.666666666668	3
205	1.0	110196.0	204.0	81600.0	5866.0	22526.0	1
210	1.1	112763.5	210.0	84000.0	4368.8	24184.7	10
215	1.6666666666666667	116265.33333333333	214.0	85600.0	5507.666666666667	24943.666666666668	3
220	1.3	119407.9	220.0	88000.0	5563.8	25624.1	10
225	1.5	120409.0	224.0	89600.0	5130.5	25454.5	2
230	1.2	125083.5	230.0	92000.0	4849.6	28003.9	10
235	1.0	125380.9	234.0	93600.0	4445.8	27101.1	10
240	1.2	130814.2	240.0	96000.0	5330.1	29244.1	10
245	1.2	132383.5	244.0	97600.0	5384.1	29155.4	10
