pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
30	10.0	14747.0	30.0	3000.0	7883.0	3834.0	1
35	15.0	24869.0	34.0	3400.0	14908.0	6527.0	1
36	9.428571428571429	17282.428571428572	36.0	3600.0	8582.142857142857	5064.285714285715	7
37	9.428571428571429	17282.428571428572	36.0	3600.0	8582.142857142857	5064.285714285715	7
38	7.714285714285714	15536.0	38.0	3800.0	6694.0	5004.0	7
39	7.0	13318.0	38.0	3800.0	4955.571428571428	4524.428571428572	7
40	7.8	16646.6	40.0	4000.0	7099.5	5507.1	10
41	6.6	14874.4	40.0	4000.0	5968.4	4866.0	10
42	7.142857142857143	16309.42857142857	42.0	4200.0	6421.714285714285	5645.714285714285	7
43	7.142857142857143	16309.42857142857	42.0	4200.0	6421.714285714285	5645.714285714285	7
44	5.777777777777778	14211.777777777777	44.0	4400.0	4870.222222222223	4897.555555555556	9
50	4.666666666666667	14892.333333333334	50.0	5000.0	4367.666666666667	5474.666666666667	3
55	5.3	18370.4	54.0	5400.0	5885.2	7031.2	10
65	3.6	18152.0	64.0	6400.0	4219.4	7468.6	5
70	3.75	21060.875	70.0	7000.0	5293.5	8697.375	8
100	2.2	25324.8	100.0	10000.0	4007.6	11217.2	10
130	1.8	30311.4	130.0	13000.0	3291.2	13890.2	10
