pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	67.0	223789.5	100.0	48000.0	114944.5	60745.0	2
105	81.44444444444444	245529.88888888888	104.0	49920.0	131755.77777777778	63750.11111111111	9
115	66.2	233817.5	114.0	54720.0	108719.1	70264.4	10
120	59.2	234578.4	120.0	57600.0	101515.5	75342.9	10
121	55.2	233595.1	120.0	57600.0	101353.4	74521.7	10
122	57.25	234932.375	122.0	58560.0	99382.0	76868.375	8
123	61.3	238505.1	122.0	58560.0	103352.0	76471.1	10
124	56.3	236906.4	124.0	59520.0	99229.6	78032.8	10
125	51.5	231642.7	124.0	59520.0	94077.8	77920.9	10
126	56.0	240547.3	126.0	60480.0	101491.2	78450.1	10
127	54.2	237016.8	126.0	60480.0	97412.4	78998.4	10
128	42.875	223001.5	128.0	61440.0	80575.5	80858.0	8
129	47.4	236294.0	128.0	61440.0	93168.0	81558.0	10
130	51.4	232456.4	130.0	62400.0	86908.4	83018.0	10
135	51.4	242327.1	134.0	64320.0	93393.3	84479.8	10
140	43.3	234140.5	140.0	67200.0	77900.6	88899.9	10
145	31.0	232327.0	144.0	69120.0	68788.33333333333	94274.66666666667	3
150	34.4	240067.1	150.0	72000.0	71879.2	96037.9	10
155	34.7	244501.6	154.0	73920.0	71280.6	99147.0	10
160	32.0	247582.9	160.0	76800.0	67855.7	102767.2	10
190	23.4	269862.7	190.0	91200.0	53928.0	124544.7	10
