pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
30	11.2	15431.5	30.0	3000.0	8561.6	3839.9	10
31	10.6	15004.0	30.0	3000.0	8362.5	3611.5	10
32	9.7	15354.8	32.0	3200.0	8486.8	3636.0	10
33	9.8	15429.7	32.0	3200.0	8571.4	3626.3	10
34	8.1	14054.0	34.0	3400.0	6877.3	3742.7	10
35	7.5	12763.8	34.0	3400.0	5952.1	3377.7	10
36	7.6	14025.7	36.0	3600.0	6473.4	3916.3	10
37	7.4	13658.5	36.0	3600.0	6250.1	3772.4	10
38	7.5	14977.3	38.0	3800.0	7034.3	4105.0	10
39	7.6	15164.1	38.0	3800.0	7193.7	4132.4	10
40	6.0	13260.0	40.0	4000.0	5308.9	3911.1	10
45	4.9	12902.5	44.0	4400.0	4403.9	4054.6	10
50	3.7	12794.7	50.0	5000.0	3617.7	4127.0	10
55	4.4	16083.3	54.0	5400.0	5329.3	5300.0	10
60	3.0	14033.2	60.0	6000.0	3256.6	4716.6	10
65	3.0	15564.1	64.0	6400.0	3462.6	5637.5	10
70	2.4	14926.3	70.0	7000.0	3089.2	4767.1	10
100	1.5	17627.9	100.0	10000.0	1684.1	5843.8	10
130	1.6	25563.6	130.0	13000.0	2677.0	9756.6	10
