pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	3.375	47407.125	100.0	40000.0	137.5	7169.625	8
105	1.5	49302.5	104.0	41600.0	127.5	7471.0	2
110	2.0	52176.0	110.0	44000.0	178.0	7888.0	1
115	2.111111111111111	54008.77777777778	114.0	45600.0	112.44444444444444	8182.333333333333	9
116	2.4	54992.2	116.0	46400.0	103.0	8373.2	5
117	2.4	55005.6	116.0	46400.0	125.7	8363.9	10
118	1.0	55982.0	118.0	47200.0	138.0	8526.0	1
119	1.0	55982.0	118.0	47200.0	138.0	8526.0	1
120	2.7	56857.6	120.0	48000.0	121.4	8616.2	10
121	1.9	56887.4	120.0	48000.0	144.1	8623.3	10
122	2.3	57838.1	122.0	48800.0	140.9	8775.2	10
123	1.6	57825.2	122.0	48800.0	114.8	8788.4	5
124	1.7	58753.7	124.0	49600.0	119.5	8910.2	10
125	2.2	58806.9	124.0	49600.0	126.2	8956.7	10
130	1.8	61635.7	130.0	52000.0	179.3	9326.4	10
135	1.9	63533.3	134.0	53600.0	150.4	9648.9	10
140	2.5	66326.0	140.0	56000.0	115.25	10070.75	4
145	2.0	68200.5	144.0	57600.0	128.9	10327.6	10
150	2.8	71107.9	150.0	60000.0	120.5	10837.4	10
155	2.3	72977.4	154.0	61600.0	110.9	11112.5	10
160	2.4	75809.7	160.0	64000.0	107.9	11541.8	10
190	1.9	90035.6	190.0	76000.0	112.0	13733.6	10
